Week,Away Team,Home Team,Winning Team,3rd Att_home,3rd Md_home,4th Att_home,4th Md_home,Rec 1st_home,Rec 1st%_home,Rush 1st_home,Rush 1st%_home,Scrm Plys_home,3rd Att_away,3rd Md_away,4th Att_away,4th Md_away,Rec 1st_away,Rec 1st%_away,Rush 1st_away,Rush 1st%_away,Scrm Plys_away,Home_Win
1,Lions,Chiefs,Lions,224,83,28,13,169,49.7,107,24.8,1045,202,75,26,15,209,56.3,91,22.3,1037,0
16,Lions,Vikings,Lions,232,96,25,18,208,48.8,104,23.3,1095,202,75,26,15,209,56.3,91,22.3,1037,0
13,Lions,Saints,Lions,226,78,26,11,167,50.2,100,21.6,1054,202,75,26,15,209,56.3,91,22.3,1037,0
7,Lions,Ravens,Ravens,250,91,32,13,175,45.6,96,23.1,1109,202,75,26,15,209,56.3,91,22.3,1037,1
14,Lions,Bears,Bears,222,98,23,10,196,47.8,88,22.7,1035,202,75,26,15,209,56.3,91,22.3,1037,1
10,Lions,Chargers,Lions,232,89,32,19,203,52.2,110,23.6,1113,202,75,26,15,209,56.3,91,22.3,1037,0
6,Lions,Buccaneers,Lions,225,92,25,12,213,52.7,101,23.9,1081,202,75,26,15,209,56.3,91,22.3,1037,0
17,Lions,Cowboys,Cowboys,211,79,37,19,166,53.9,108,23.5,1014,202,75,26,15,209,56.3,91,22.3,1037,1
4,Lions,Packers,Lions,224,92,30,14,189,55.3,120,24.3,1061,202,75,26,15,209,56.3,91,22.3,1037,0
3,Bears,Chiefs,Chiefs,224,83,28,13,169,49.7,107,24.8,1045,222,98,23,10,196,47.8,88,22.7,1035,1
15,Bears,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,222,98,23,10,196,47.8,88,22.7,1035,1
12,Bears,Vikings,Bears,232,96,25,18,208,48.8,104,23.3,1095,222,98,23,10,196,47.8,88,22.7,1035,0
9,Bears,Saints,Saints,226,78,26,11,167,50.2,100,21.6,1054,222,98,23,10,196,47.8,88,22.7,1035,1
5,Bears,Commanders,Bears,226,94,21,13,218,55.0,121,25.2,1117,222,98,23,10,196,47.8,88,22.7,1035,0
8,Bears,Chargers,Chargers,232,89,32,19,203,52.2,110,23.6,1113,222,98,23,10,196,47.8,88,22.7,1035,1
11,Bears,Lions,Lions,202,75,26,15,209,56.3,91,22.3,1037,222,98,23,10,196,47.8,88,22.7,1035,0
2,Bears,Buccaneers,Buccaneers,225,92,25,12,213,52.7,101,23.9,1081,222,98,23,10,196,47.8,88,22.7,1035,1
18,Bears,Packers,Packers,224,92,30,14,189,55.3,120,24.3,1061,222,98,23,10,196,47.8,88,22.7,1035,1
6,Broncos,Chiefs,Chiefs,224,83,28,13,169,49.7,107,24.8,1045,202,67,34,16,201,52.6,119,25.4,1083,1
4,Broncos,Bears,Broncos,222,98,23,10,196,47.8,88,22.7,1035,202,67,34,16,201,52.6,119,25.4,1083,0
14,Broncos,Chargers,Broncos,232,89,32,19,203,52.2,110,23.6,1113,202,67,34,16,201,52.6,119,25.4,1083,0
10,Broncos,Bills,Broncos,215,83,19,10,183,50.4,96,23.5,1015,202,67,34,16,201,52.6,119,25.4,1083,0
15,Broncos,Lions,Lions,202,75,26,15,209,56.3,91,22.3,1037,202,67,34,16,201,52.6,119,25.4,1083,1
13,Broncos,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,202,67,34,16,201,52.6,119,25.4,1083,1
3,Broncos,Dolphins,Dolphins,216,84,30,14,186,49.0,109,25.2,1057,202,67,34,16,201,52.6,119,25.4,1083,1
18,Broncos,Raiders,Raiders,227,94,26,14,187,49.7,117,24.4,1089,202,67,34,16,201,52.6,119,25.4,1083,1
7,Chargers,Chiefs,Chiefs,224,83,28,13,169,49.7,107,24.8,1045,232,89,32,19,203,52.2,110,23.6,1113,1
3,Chargers,Vikings,Chargers,232,96,25,18,208,48.8,104,23.3,1095,232,89,32,19,203,52.2,110,23.6,1113,0
17,Chargers,Broncos,Broncos,202,67,34,16,201,52.6,119,25.4,1083,232,89,32,19,203,52.2,110,23.6,1113,1
9,Chargers,Jets,Chargers,242,90,16,7,150,47.9,111,21.5,1087,232,89,32,19,203,52.2,110,23.6,1113,0
2,Chargers,Titans,Titans,231,89,21,12,189,48.8,103,21.5,1096,232,89,32,19,203,52.2,110,23.6,1113,1
13,Chargers,Patriots,Chargers,237,86,19,10,181,48.9,100,20.8,1091,232,89,32,19,203,52.2,110,23.6,1113,0
11,Chargers,Packers,Packers,224,92,30,14,189,55.3,120,24.3,1061,232,89,32,19,203,52.2,110,23.6,1113,1
15,Chargers,Raiders,Raiders,227,94,26,14,187,49.7,117,24.4,1089,232,89,32,19,203,52.2,110,23.6,1113,1
9,Dolphins,Chiefs,Chiefs,224,83,28,13,169,49.7,107,24.8,1045,216,84,30,14,186,49.0,109,25.2,1057,1
13,Dolphins,Commanders,Dolphins,226,94,21,13,218,55.0,121,25.2,1117,216,84,30,14,186,49.0,109,25.2,1057,0
17,Dolphins,Ravens,Ravens,250,91,32,13,175,45.6,96,23.1,1109,216,84,30,14,186,49.0,109,25.2,1057,1
7,Dolphins,Eagles,Eagles,233,108,34,19,222,52.2,111,27.1,1105,216,84,30,14,186,49.0,109,25.2,1057,1
1,Dolphins,Chargers,Dolphins,232,89,32,19,203,52.2,110,23.6,1113,216,84,30,14,186,49.0,109,25.2,1057,0
12,Dolphins,Jets,Dolphins,242,90,16,7,150,47.9,111,21.5,1087,216,84,30,14,186,49.0,109,25.2,1057,0
4,Dolphins,Bills,Bills,215,83,19,10,183,50.4,96,23.5,1015,216,84,30,14,186,49.0,109,25.2,1057,1
2,Dolphins,Patriots,Dolphins,237,86,19,10,181,48.9,100,20.8,1091,216,84,30,14,186,49.0,109,25.2,1057,0
11,Eagles,Chiefs,Eagles,224,83,28,13,169,49.7,107,24.8,1045,233,108,34,19,222,52.2,111,27.1,1105,0
8,Eagles,Commanders,Eagles,226,94,21,13,218,55.0,121,25.2,1117,233,108,34,19,222,52.2,111,27.1,1105,0
15,Eagles,Seahawks,Seahawks,231,107,26,13,202,51.8,143,27.8,1147,233,108,34,19,222,52.2,111,27.1,1105,1
18,Eagles,Giants,Giants,216,80,19,10,191,51.5,134,28.2,1091,233,108,34,19,222,52.2,111,27.1,1105,1
6,Eagles,Jets,Jets,242,90,16,7,150,47.9,111,21.5,1087,233,108,34,19,222,52.2,111,27.1,1105,1
3,Eagles,Buccaneers,Eagles,225,92,25,12,213,52.7,101,23.9,1081,233,108,34,19,222,52.2,111,27.1,1105,0
5,Eagles,Rams,Eagles,228,88,30,16,193,52.6,108,24.9,1078,233,108,34,19,222,52.2,111,27.1,1105,0
14,Eagles,Cowboys,Cowboys,211,79,37,19,166,53.9,108,23.5,1014,233,108,34,19,222,52.2,111,27.1,1105,1
14,Bills,Chiefs,Bills,224,83,28,13,169,49.7,107,24.8,1045,215,83,19,10,183,50.4,96,23.5,1015,0
3,Bills,Commanders,Bills,226,94,21,13,218,55.0,121,25.2,1117,215,83,19,10,183,50.4,96,23.5,1015,0
12,Bills,Eagles,Eagles,233,108,34,19,222,52.2,111,27.1,1105,215,83,19,10,183,50.4,96,23.5,1015,1
16,Bills,Chargers,Bills,232,89,32,19,203,52.2,110,23.6,1113,215,83,19,10,183,50.4,96,23.5,1015,0
1,Bills,Jets,Jets,242,90,16,7,150,47.9,111,21.5,1087,215,83,19,10,183,50.4,96,23.5,1015,1
9,Bills,Bengals,Bengals,213,87,15,7,201,55.2,127,27.8,1055,215,83,19,10,183,50.4,96,23.5,1015,1
7,Bills,Patriots,Patriots,237,86,19,10,181,48.9,100,20.8,1091,215,83,19,10,183,50.4,96,23.5,1015,1
18,Bills,Dolphins,Bills,216,84,30,14,186,49.0,109,25.2,1057,215,83,19,10,183,50.4,96,23.5,1015,0
16,Raiders,Chiefs,Raiders,224,83,28,13,169,49.7,107,24.8,1045,227,94,26,14,187,49.7,117,24.4,1089,0
17,Raiders,Colts,Colts,240,89,26,17,192,51.9,123,23.8,1137,227,94,26,14,187,49.7,117,24.4,1089,1
7,Raiders,Bears,Bears,222,98,23,10,196,47.8,88,22.7,1035,227,94,26,14,187,49.7,117,24.4,1089,1
1,Raiders,Broncos,Raiders,202,67,34,16,201,52.6,119,25.4,1083,227,94,26,14,187,49.7,117,24.4,1089,0
4,Raiders,Chargers,Chargers,232,89,32,19,203,52.2,110,23.6,1113,227,94,26,14,187,49.7,117,24.4,1089,1
2,Raiders,Bills,Bills,215,83,19,10,183,50.4,96,23.5,1015,227,94,26,14,187,49.7,117,24.4,1089,1
8,Raiders,Lions,Lions,202,75,26,15,209,56.3,91,22.3,1037,227,94,26,14,187,49.7,117,24.4,1089,1
11,Raiders,Dolphins,Dolphins,216,84,30,14,186,49.0,109,25.2,1057,227,94,26,14,187,49.7,117,24.4,1089,1
17,Bengals,Chiefs,Chiefs,224,83,28,13,169,49.7,107,24.8,1045,213,87,15,7,201,55.2,127,27.8,1055,1
1,Bengals,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,213,87,15,7,201,55.2,127,27.8,1055,1
16,Bengals,Steelers,Steelers,233,91,18,8,186,53.4,95,20.9,1074,213,87,15,7,201,55.2,127,27.8,1055,1
11,Bengals,Ravens,Ravens,250,91,32,13,175,45.6,96,23.1,1109,213,87,15,7,201,55.2,127,27.8,1055,1
4,Bengals,Titans,Titans,231,89,21,12,189,48.8,103,21.5,1096,213,87,15,7,201,55.2,127,27.8,1055,1
13,Bengals,Jaguars,Bengals,230,84,41,21,198,49.0,99,23.5,1078,213,87,15,7,201,55.2,127,27.8,1055,0
5,Bengals,Cardinals,Bengals,205,97,15,7,198,57.1,141,27.1,1060,213,87,15,7,201,55.2,127,27.8,1055,0
8,Bengals,49ers,Bengals,215,88,28,14,190,46.3,97,26.3,1038,213,87,15,7,201,55.2,127,27.8,1055,0
1,Panthers,Falcons,Falcons,228,77,23,11,183,53.8,105,21.0,1090,221,84,10,7,162,52.4,122,24.0,1016,1
14,Panthers,Saints,Saints,226,78,26,11,167,50.2,100,21.6,1054,221,84,10,7,162,52.4,122,24.0,1016,1
10,Panthers,Bears,Bears,222,98,23,10,196,47.8,88,22.7,1035,221,84,10,7,162,52.4,122,24.0,1016,1
3,Panthers,Seahawks,Seahawks,231,107,26,13,202,51.8,143,27.8,1147,221,84,10,7,162,52.4,122,24.0,1016,1
5,Panthers,Lions,Lions,202,75,26,15,209,56.3,91,22.3,1037,221,84,10,7,162,52.4,122,24.0,1016,1
12,Panthers,Titans,Titans,231,89,21,12,189,48.8,103,21.5,1096,221,84,10,7,162,52.4,122,24.0,1016,1
13,Panthers,Buccaneers,Buccaneers,225,92,25,12,213,52.7,101,23.9,1081,221,84,10,7,162,52.4,122,24.0,1016,1
17,Panthers,Jaguars,Jaguars,230,84,41,21,198,49.0,99,23.5,1078,221,84,10,7,162,52.4,122,24.0,1016,1
6,Panthers,Dolphins,Dolphins,216,84,30,14,186,49.0,109,25.2,1057,221,84,10,7,162,52.4,122,24.0,1016,1
2,Packers,Falcons,Falcons,228,77,23,11,183,53.8,105,21.0,1090,224,92,30,14,189,55.3,120,24.3,1061,1
17,Packers,Vikings,Packers,232,96,25,18,208,48.8,104,23.3,1095,224,92,30,14,189,55.3,120,24.3,1061,0
10,Packers,Steelers,Steelers,233,91,18,8,186,53.4,95,20.9,1074,224,92,30,14,189,55.3,120,24.3,1061,1
1,Packers,Bears,Packers,222,98,23,10,196,47.8,88,22.7,1035,224,92,30,14,189,55.3,120,24.3,1061,0
7,Packers,Broncos,Broncos,202,67,34,16,201,52.6,119,25.4,1083,224,92,30,14,189,55.3,120,24.3,1061,1
14,Packers,Giants,Giants,216,80,19,10,191,51.5,134,28.2,1091,224,92,30,14,189,55.3,120,24.3,1061,1
12,Packers,Lions,Packers,202,75,26,15,209,56.3,91,22.3,1037,224,92,30,14,189,55.3,120,24.3,1061,0
16,Packers,Panthers,Packers,221,84,10,7,162,52.4,122,24.0,1016,224,92,30,14,189,55.3,120,24.3,1061,0
5,Packers,Raiders,Raiders,227,94,26,14,187,49.7,117,24.4,1089,224,92,30,14,189,55.3,120,24.3,1061,1
5,Texans,Falcons,Falcons,228,77,23,11,183,53.8,105,21.0,1090,227,81,29,16,185,48.4,110,23.5,1079,1
18,Texans,Colts,Texans,240,89,26,17,192,51.9,123,23.8,1137,227,81,29,16,185,48.4,110,23.5,1079,0
1,Texans,Ravens,Ravens,250,91,32,13,175,45.6,96,23.1,1109,227,81,29,16,185,48.4,110,23.5,1079,1
14,Texans,Jets,Jets,242,90,16,7,150,47.9,111,21.5,1087,227,81,29,16,185,48.4,110,23.5,1079,1
10,Texans,Bengals,Texans,213,87,15,7,201,55.2,127,27.8,1055,227,81,29,16,185,48.4,110,23.5,1079,0
15,Texans,Titans,Texans,231,89,21,12,189,48.8,103,21.5,1096,227,81,29,16,185,48.4,110,23.5,1079,0
3,Texans,Jaguars,Texans,230,84,41,21,198,49.0,99,23.5,1078,227,81,29,16,185,48.4,110,23.5,1079,0
8,Texans,Panthers,Panthers,221,84,10,7,162,52.4,122,24.0,1016,227,81,29,16,185,48.4,110,23.5,1079,1
6,Commanders,Falcons,Commanders,228,77,23,11,183,53.8,105,21.0,1090,226,94,21,13,218,55.0,121,25.2,1117,0
2,Commanders,Broncos,Commanders,202,67,34,16,201,52.6,119,25.4,1083,226,94,21,13,218,55.0,121,25.2,1117,0
4,Commanders,Eagles,Eagles,233,108,34,19,222,52.2,111,27.1,1105,226,94,21,13,218,55.0,121,25.2,1117,1
10,Commanders,Seahawks,Seahawks,231,107,26,13,202,51.8,143,27.8,1147,226,94,21,13,218,55.0,121,25.2,1117,1
7,Commanders,Giants,Giants,216,80,19,10,191,51.5,134,28.2,1091,226,94,21,13,218,55.0,121,25.2,1117,1
16,Commanders,Jets,Jets,242,90,16,7,150,47.9,111,21.5,1087,226,94,21,13,218,55.0,121,25.2,1117,1
15,Commanders,Rams,Rams,228,88,30,16,193,52.6,108,24.9,1078,226,94,21,13,218,55.0,121,25.2,1117,1
12,Commanders,Cowboys,Cowboys,211,79,37,19,166,53.9,108,23.5,1014,226,94,21,13,218,55.0,121,25.2,1117,1
9,Commanders,Patriots,Commanders,237,86,19,10,181,48.9,100,20.8,1091,226,94,21,13,218,55.0,121,25.2,1117,0
9,Vikings,Falcons,Vikings,228,77,23,11,183,53.8,105,21.0,1090,232,96,25,18,208,48.8,104,23.3,1095,0
6,Vikings,Bears,Vikings,222,98,23,10,196,47.8,88,22.7,1035,232,96,25,18,208,48.8,104,23.3,1095,0
11,Vikings,Broncos,Broncos,202,67,34,16,201,52.6,119,25.4,1083,232,96,25,18,208,48.8,104,23.3,1095,1
2,Vikings,Eagles,Eagles,233,108,34,19,222,52.2,111,27.1,1105,232,96,25,18,208,48.8,104,23.3,1095,1
15,Vikings,Bengals,Bengals,213,87,15,7,201,55.2,127,27.8,1055,232,96,25,18,208,48.8,104,23.3,1095,1
18,Vikings,Lions,Lions,202,75,26,15,209,56.3,91,22.3,1037,232,96,25,18,208,48.8,104,23.3,1095,1
4,Vikings,Panthers,Vikings,221,84,10,7,162,52.4,122,24.0,1016,232,96,25,18,208,48.8,104,23.3,1095,0
8,Vikings,Packers,Vikings,224,92,30,14,189,55.3,120,24.3,1061,232,96,25,18,208,48.8,104,23.3,1095,0
14,Vikings,Raiders,Vikings,227,94,26,14,187,49.7,117,24.4,1089,232,96,25,18,208,48.8,104,23.3,1095,0
12,Saints,Falcons,Falcons,228,77,23,11,183,53.8,105,21.0,1090,226,78,26,11,167,50.2,100,21.6,1054,1
8,Saints,Colts,Saints,240,89,26,17,192,51.9,123,23.8,1137,226,78,26,11,167,50.2,100,21.6,1054,0
10,Saints,Vikings,Vikings,232,96,25,18,208,48.8,104,23.3,1095,226,78,26,11,167,50.2,100,21.6,1054,1
17,Saints,Buccaneers,Saints,225,92,25,12,213,52.7,101,23.9,1081,226,78,26,11,167,50.2,100,21.6,1054,0
6,Saints,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,226,78,26,11,167,50.2,100,21.6,1054,1
16,Saints,Rams,Rams,228,88,30,16,193,52.6,108,24.9,1078,226,78,26,11,167,50.2,100,21.6,1054,1
5,Saints,Patriots,Saints,237,86,19,10,181,48.9,100,20.8,1091,226,78,26,11,167,50.2,100,21.6,1054,0
2,Saints,Panthers,Saints,221,84,10,7,162,52.4,122,24.0,1016,226,78,26,11,167,50.2,100,21.6,1054,0
3,Saints,Packers,Packers,224,92,30,14,189,55.3,120,24.3,1061,226,78,26,11,167,50.2,100,21.6,1054,1
14,Buccaneers,Falcons,Buccaneers,228,77,23,11,183,53.8,105,21.0,1090,225,92,25,12,213,52.7,101,23.9,1081,0
12,Buccaneers,Colts,Colts,240,89,26,17,192,51.9,123,23.8,1137,225,92,25,12,213,52.7,101,23.9,1081,1
1,Buccaneers,Vikings,Buccaneers,232,96,25,18,208,48.8,104,23.3,1095,225,92,25,12,213,52.7,101,23.9,1081,0
4,Buccaneers,Saints,Buccaneers,226,78,26,11,167,50.2,100,21.6,1054,225,92,25,12,213,52.7,101,23.9,1081,0
8,Buccaneers,Bills,Bills,215,83,19,10,183,50.4,96,23.5,1015,225,92,25,12,213,52.7,101,23.9,1081,1
9,Buccaneers,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,225,92,25,12,213,52.7,101,23.9,1081,1
