Week,Away Team,Home Team,Winning Team,FGM_home,Att_home,FG %_home,1-19 > A-M_home,20-29 > A-M_home,30-39 > A-M_home,40-49 > A-M_home,50-59 > A-M_home,60+ > A-M_home,Lng_home,FG Blk_home,FGM_away,Att_away,FG %_away,1-19 > A-M_away,20-29 > A-M_away,30-39 > A-M_away,40-49 > A-M_away,50-59 > A-M_away,60+ > A-M_away,Lng_away,FG Blk_away,Home_Win
1,Lions,Chiefs,Lions,33,35,94.3,0,8,15,7,4,1,60,0,19,21,90.5,0,3,13,3,2,0,52,0,0
16,Lions,Vikings,Lions,24,30,80.0,1,7,9,6,7,0,54,1,19,21,90.5,0,3,13,3,2,0,52,0,0
13,Lions,Saints,Lions,30,37,81.1,0,12,6,10,9,0,55,0,19,21,90.5,0,3,13,3,2,0,52,0,0
7,Lions,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,19,21,90.5,0,3,13,3,2,0,52,0,1
14,Lions,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,19,21,90.5,0,3,13,3,2,0,52,0,1
10,Lions,Chargers,Lions,31,33,93.9,0,7,8,9,9,0,55,1,19,21,90.5,0,3,13,3,2,0,52,0,0
6,Lions,Buccaneers,Lions,29,31,93.6,0,8,12,3,8,0,57,2,19,21,90.5,0,3,13,3,2,0,52,0,0
17,Lions,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,19,21,90.5,0,3,13,3,2,0,52,0,1
4,Lions,Packers,Lions,27,33,81.8,0,6,14,8,4,1,53,0,19,21,90.5,0,3,13,3,2,0,52,0,0
3,Bears,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,35,38,92.1,0,9,11,10,8,0,55,0,1
15,Bears,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,35,38,92.1,0,9,11,10,8,0,55,0,1
12,Bears,Vikings,Bears,24,30,80.0,1,7,9,6,7,0,54,1,35,38,92.1,0,9,11,10,8,0,55,0,0
9,Bears,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,35,38,92.1,0,9,11,10,8,0,55,0,1
5,Bears,Commanders,Bears,19,24,79.2,0,3,7,9,4,1,61,1,35,38,92.1,0,9,11,10,8,0,55,0,0
8,Bears,Chargers,Chargers,31,33,93.9,0,7,8,9,9,0,55,1,35,38,92.1,0,9,11,10,8,0,55,0,1
11,Bears,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,35,38,92.1,0,9,11,10,8,0,55,0,0
2,Bears,Buccaneers,Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,35,38,92.1,0,9,11,10,8,0,55,0,1
18,Bears,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,35,38,92.1,0,9,11,10,8,0,55,0,1
6,Broncos,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,30,34,88.2,0,11,13,5,5,0,52,1,1
4,Broncos,Bears,Broncos,35,38,92.1,0,9,11,10,8,0,55,0,30,34,88.2,0,11,13,5,5,0,52,1,0
14,Broncos,Chargers,Broncos,31,33,93.9,0,7,8,9,9,0,55,1,30,34,88.2,0,11,13,5,5,0,52,1,0
10,Broncos,Bills,Broncos,24,29,82.8,0,4,13,6,6,0,54,1,30,34,88.2,0,11,13,5,5,0,52,1,0
15,Broncos,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,30,34,88.2,0,11,13,5,5,0,52,1,1
13,Broncos,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,30,34,88.2,0,11,13,5,5,0,52,1,1
3,Broncos,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,30,34,88.2,0,11,13,5,5,0,52,1,1
18,Broncos,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,30,34,88.2,0,11,13,5,5,0,52,1,1
7,Chargers,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,31,33,93.9,0,7,8,9,9,0,55,1,1
3,Chargers,Vikings,Chargers,24,30,80.0,1,7,9,6,7,0,54,1,31,33,93.9,0,7,8,9,9,0,55,1,0
17,Chargers,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,31,33,93.9,0,7,8,9,9,0,55,1,1
9,Chargers,Jets,Chargers,36,39,92.3,0,8,11,14,6,0,55,1,31,33,93.9,0,7,8,9,9,0,55,1,0
2,Chargers,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,31,33,93.9,0,7,8,9,9,0,55,1,1
13,Chargers,Patriots,Chargers,16,25,64.0,0,4,7,10,4,0,56,0,31,33,93.9,0,7,8,9,9,0,55,1,0
11,Chargers,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,31,33,93.9,0,7,8,9,9,0,55,1,1
15,Chargers,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,31,33,93.9,0,7,8,9,9,0,55,1,1
9,Dolphins,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,24,28,85.7,0,6,7,8,7,0,57,2,1
13,Dolphins,Commanders,Dolphins,19,24,79.2,0,3,7,9,4,1,61,1,24,28,85.7,0,6,7,8,7,0,57,2,0
17,Dolphins,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,24,28,85.7,0,6,7,8,7,0,57,2,1
7,Dolphins,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,24,28,85.7,0,6,7,8,7,0,57,2,1
1,Dolphins,Chargers,Dolphins,31,33,93.9,0,7,8,9,9,0,55,1,24,28,85.7,0,6,7,8,7,0,57,2,0
12,Dolphins,Jets,Dolphins,36,39,92.3,0,8,11,14,6,0,55,1,24,28,85.7,0,6,7,8,7,0,57,2,0
4,Dolphins,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,24,28,85.7,0,6,7,8,7,0,57,2,1
2,Dolphins,Patriots,Dolphins,16,25,64.0,0,4,7,10,4,0,56,0,24,28,85.7,0,6,7,8,7,0,57,2,0
11,Eagles,Chiefs,Eagles,33,35,94.3,0,8,15,7,4,1,60,0,30,32,93.8,0,9,8,7,7,1,61,0,0
8,Eagles,Commanders,Eagles,19,24,79.2,0,3,7,9,4,1,61,1,30,32,93.8,0,9,8,7,7,1,61,0,0
15,Eagles,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,30,32,93.8,0,9,8,7,7,1,61,0,1
18,Eagles,Giants,Giants,22,31,71.0,0,4,9,11,7,0,57,1,30,32,93.8,0,9,8,7,7,1,61,0,1
6,Eagles,Jets,Jets,36,39,92.3,0,8,11,14,6,0,55,1,30,32,93.8,0,9,8,7,7,1,61,0,1
3,Eagles,Buccaneers,Eagles,29,31,93.6,0,8,12,3,8,0,57,2,30,32,93.8,0,9,8,7,7,1,61,0,0
5,Eagles,Rams,Eagles,32,43,74.4,0,11,7,15,10,0,54,1,30,32,93.8,0,9,8,7,7,1,61,0,0
14,Eagles,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,30,32,93.8,0,9,8,7,7,1,61,0,1
14,Bills,Chiefs,Bills,33,35,94.3,0,8,15,7,4,1,60,0,24,29,82.8,0,4,13,6,6,0,54,1,0
3,Bills,Commanders,Bills,19,24,79.2,0,3,7,9,4,1,61,1,24,29,82.8,0,4,13,6,6,0,54,1,0
12,Bills,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,24,29,82.8,0,4,13,6,6,0,54,1,1
16,Bills,Chargers,Bills,31,33,93.9,0,7,8,9,9,0,55,1,24,29,82.8,0,4,13,6,6,0,54,1,0
1,Bills,Jets,Jets,36,39,92.3,0,8,11,14,6,0,55,1,24,29,82.8,0,4,13,6,6,0,54,1,1
9,Bills,Bengals,Bengals,26,31,83.9,0,5,6,8,12,0,56,0,24,29,82.8,0,4,13,6,6,0,54,1,1
7,Bills,Patriots,Patriots,16,25,64.0,0,4,7,10,4,0,56,0,24,29,82.8,0,4,13,6,6,0,54,1,1
18,Bills,Dolphins,Bills,24,28,85.7,0,6,7,8,7,0,57,2,24,29,82.8,0,4,13,6,6,0,54,1,0
16,Raiders,Chiefs,Raiders,33,35,94.3,0,8,15,7,4,1,60,0,26,30,86.7,0,10,7,10,3,0,54,1,0
17,Raiders,Colts,Colts,33,41,80.5,0,9,10,9,12,1,57,1,26,30,86.7,0,10,7,10,3,0,54,1,1
7,Raiders,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,26,30,86.7,0,10,7,10,3,0,54,1,1
1,Raiders,Broncos,Raiders,30,34,88.2,0,11,13,5,5,0,52,1,26,30,86.7,0,10,7,10,3,0,54,1,0
4,Raiders,Chargers,Chargers,31,33,93.9,0,7,8,9,9,0,55,1,26,30,86.7,0,10,7,10,3,0,54,1,1
2,Raiders,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,26,30,86.7,0,10,7,10,3,0,54,1,1
8,Raiders,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,26,30,86.7,0,10,7,10,3,0,54,1,1
11,Raiders,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,26,30,86.7,0,10,7,10,3,0,54,1,1
17,Bengals,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,26,31,83.9,0,5,6,8,12,0,56,0,1
1,Bengals,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,26,31,83.9,0,5,6,8,12,0,56,0,1
16,Bengals,Steelers,Steelers,29,31,93.6,0,9,7,8,6,1,57,0,26,31,83.9,0,5,6,8,12,0,56,0,1
11,Bengals,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,26,31,83.9,0,5,6,8,12,0,56,0,1
4,Bengals,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,26,31,83.9,0,5,6,8,12,0,56,0,1
13,Bengals,Jaguars,Bengals,30,37,81.1,0,4,10,13,10,0,56,1,26,31,83.9,0,5,6,8,12,0,56,0,0
5,Bengals,Cardinals,Bengals,28,33,84.8,0,6,8,7,11,1,62,0,26,31,83.9,0,5,6,8,12,0,56,0,0
8,Bengals,49ers,Bengals,21,25,84.0,0,7,9,6,3,0,57,0,26,31,83.9,0,5,6,8,12,0,56,0,0
1,Panthers,Falcons,Falcons,32,37,86.5,0,10,10,11,6,0,54,0,25,30,83.3,0,6,7,9,8,0,56,0,1
14,Panthers,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,25,30,83.3,0,6,7,9,8,0,56,0,1
10,Panthers,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,25,30,83.3,0,6,7,9,8,0,56,0,1
3,Panthers,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,25,30,83.3,0,6,7,9,8,0,56,0,1
5,Panthers,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,25,30,83.3,0,6,7,9,8,0,56,0,1
12,Panthers,Titans,Titans,29,30,96.7,0,9,9,6,6,0,53,0,25,30,83.3,0,6,7,9,8,0,56,0,1
13,Panthers,Buccaneers,Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,25,30,83.3,0,6,7,9,8,0,56,0,1
17,Panthers,Jaguars,Jaguars,30,37,81.1,0,4,10,13,10,0,56,1,25,30,83.3,0,6,7,9,8,0,56,0,1
6,Panthers,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,25,30,83.3,0,6,7,9,8,0,56,0,1
2,Packers,Falcons,Falcons,32,37,86.5,0,10,10,11,6,0,54,0,27,33,81.8,0,6,14,8,4,1,53,0,1
17,Packers,Vikings,Packers,24,30,80.0,1,7,9,6,7,0,54,1,27,33,81.8,0,6,14,8,4,1,53,0,0
10,Packers,Steelers,Steelers,29,31,93.6,0,9,7,8,6,1,57,0,27,33,81.8,0,6,14,8,4,1,53,0,1
1,Packers,Bears,Packers,35,38,92.1,0,9,11,10,8,0,55,0,27,33,81.8,0,6,14,8,4,1,53,0,0
7,Packers,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,27,33,81.8,0,6,14,8,4,1,53,0,1
14,Packers,Giants,Giants,22,31,71.0,0,4,9,11,7,0,57,1,27,33,81.8,0,6,14,8,4,1,53,0,1
12,Packers,Lions,Packers,19,21,90.5,0,3,13,3,2,0,52,0,27,33,81.8,0,6,14,8,4,1,53,0,0
16,Packers,Panthers,Packers,25,30,83.3,0,6,7,9,8,0,56,0,27,33,81.8,0,6,14,8,4,1,53,0,0
5,Packers,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,27,33,81.8,0,6,14,8,4,1,53,0,1
5,Texans,Falcons,Falcons,32,37,86.5,0,10,10,11,6,0,54,0,34,38,89.5,0,13,13,4,8,0,54,0,1
18,Texans,Colts,Texans,33,41,80.5,0,9,10,9,12,1,57,1,34,38,89.5,0,13,13,4,8,0,54,0,0
1,Texans,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,34,38,89.5,0,13,13,4,8,0,54,0,1
14,Texans,Jets,Jets,36,39,92.3,0,8,11,14,6,0,55,1,34,38,89.5,0,13,13,4,8,0,54,0,1
10,Texans,Bengals,Texans,26,31,83.9,0,5,6,8,12,0,56,0,34,38,89.5,0,13,13,4,8,0,54,0,0
15,Texans,Titans,Texans,29,30,96.7,0,9,9,6,6,0,53,0,34,38,89.5,0,13,13,4,8,0,54,0,0
3,Texans,Jaguars,Texans,30,37,81.1,0,4,10,13,10,0,56,1,34,38,89.5,0,13,13,4,8,0,54,0,0
8,Texans,Panthers,Panthers,25,30,83.3,0,6,7,9,8,0,56,0,34,38,89.5,0,13,13,4,8,0,54,0,1
6,Commanders,Falcons,Commanders,32,37,86.5,0,10,10,11,6,0,54,0,19,24,79.2,0,3,7,9,4,1,61,1,0
2,Commanders,Broncos,Commanders,30,34,88.2,0,11,13,5,5,0,52,1,19,24,79.2,0,3,7,9,4,1,61,1,0
4,Commanders,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,19,24,79.2,0,3,7,9,4,1,61,1,1
10,Commanders,Seahawks,Seahawks,35,42,83.3,0,8,12,14,8,0,55,0,19,24,79.2,0,3,7,9,4,1,61,1,1
7,Commanders,Giants,Giants,22,31,71.0,0,4,9,11,7,0,57,1,19,24,79.2,0,3,7,9,4,1,61,1,1
16,Commanders,Jets,Jets,36,39,92.3,0,8,11,14,6,0,55,1,19,24,79.2,0,3,7,9,4,1,61,1,1
15,Commanders,Rams,Rams,32,43,74.4,0,11,7,15,10,0,54,1,19,24,79.2,0,3,7,9,4,1,61,1,1
12,Commanders,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,19,24,79.2,0,3,7,9,4,1,61,1,1
9,Commanders,Patriots,Commanders,16,25,64.0,0,4,7,10,4,0,56,0,19,24,79.2,0,3,7,9,4,1,61,1,0
9,Vikings,Falcons,Vikings,32,37,86.5,0,10,10,11,6,0,54,0,24,30,80.0,1,7,9,6,7,0,54,1,0
6,Vikings,Bears,Vikings,35,38,92.1,0,9,11,10,8,0,55,0,24,30,80.0,1,7,9,6,7,0,54,1,0
11,Vikings,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,24,30,80.0,1,7,9,6,7,0,54,1,1
2,Vikings,Eagles,Eagles,30,32,93.8,0,9,8,7,7,1,61,0,24,30,80.0,1,7,9,6,7,0,54,1,1
15,Vikings,Bengals,Bengals,26,31,83.9,0,5,6,8,12,0,56,0,24,30,80.0,1,7,9,6,7,0,54,1,1
18,Vikings,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,24,30,80.0,1,7,9,6,7,0,54,1,1
4,Vikings,Panthers,Vikings,25,30,83.3,0,6,7,9,8,0,56,0,24,30,80.0,1,7,9,6,7,0,54,1,0
8,Vikings,Packers,Vikings,27,33,81.8,0,6,14,8,4,1,53,0,24,30,80.0,1,7,9,6,7,0,54,1,0
14,Vikings,Raiders,Vikings,26,30,86.7,0,10,7,10,3,0,54,1,24,30,80.0,1,7,9,6,7,0,54,1,0
12,Saints,Falcons,Falcons,32,37,86.5,0,10,10,11,6,0,54,0,30,37,81.1,0,12,6,10,9,0,55,0,1
8,Saints,Colts,Saints,33,41,80.5,0,9,10,9,12,1,57,1,30,37,81.1,0,12,6,10,9,0,55,0,0
10,Saints,Vikings,Vikings,24,30,80.0,1,7,9,6,7,0,54,1,30,37,81.1,0,12,6,10,9,0,55,0,1
17,Saints,Buccaneers,Saints,29,31,93.6,0,8,12,3,8,0,57,2,30,37,81.1,0,12,6,10,9,0,55,0,0
6,Saints,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,30,37,81.1,0,12,6,10,9,0,55,0,1
16,Saints,Rams,Rams,32,43,74.4,0,11,7,15,10,0,54,1,30,37,81.1,0,12,6,10,9,0,55,0,1
5,Saints,Patriots,Saints,16,25,64.0,0,4,7,10,4,0,56,0,30,37,81.1,0,12,6,10,9,0,55,0,0
2,Saints,Panthers,Saints,25,30,83.3,0,6,7,9,8,0,56,0,30,37,81.1,0,12,6,10,9,0,55,0,0
3,Saints,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,30,37,81.1,0,12,6,10,9,0,55,0,1
14,Buccaneers,Falcons,Buccaneers,32,37,86.5,0,10,10,11,6,0,54,0,29,31,93.6,0,8,12,3,8,0,57,2,0
12,Buccaneers,Colts,Colts,33,41,80.5,0,9,10,9,12,1,57,1,29,31,93.6,0,8,12,3,8,0,57,2,1
1,Buccaneers,Vikings,Buccaneers,24,30,80.0,1,7,9,6,7,0,54,1,29,31,93.6,0,8,12,3,8,0,57,2,0
4,Buccaneers,Saints,Buccaneers,30,37,81.1,0,12,6,10,9,0,55,0,29,31,93.6,0,8,12,3,8,0,57,2,0
8,Buccaneers,Bills,Bills,24,29,82.8,0,4,13,6,6,0,54,1,29,31,93.6,0,8,12,3,8,0,57,2,1
9,Buccaneers,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,29,31,93.6,0,8,12,3,8,0,57,2,1
