Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,KRet TD_home,20_home,40_home,Lng_home,FC_home,FUM_home,FG Blk_home,XP Blk_home,Avg_away,Ret_away,Yds_away,KRet TD_away,20_away,40_away,Lng_away,FC_away,FUM_away,FG Blk_away,XP Blk_away,Home_Win
18,Buccaneers,Panthers,Buccaneers,26.5,24,637,0,19,2,52,0,1,0,0,20.4,16,327,0,7,0,32,5,0,0,0,0
11,Buccaneers,49ers,49ers,21.8,20,437,0,11,0,34,0,0,0,0,20.4,16,327,0,7,0,32,5,0,0,0,1
15,Buccaneers,Packers,Buccaneers,25.3,31,783,0,26,2,51,0,0,2,0,20.4,16,327,0,7,0,32,5,0,0,0,0
16,Colts,Falcons,Falcons,16.9,14,236,0,5,0,29,0,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,1
3,Colts,Ravens,Colts,24.5,13,319,0,8,1,78,4,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,0
14,Colts,Bengals,Bengals,22.8,17,387,0,11,2,46,0,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,1
13,Colts,Titans,Colts,20.7,18,372,0,11,0,33,14,0,1,1,22.2,9,200,0,3,1,42,8,1,0,0,0
6,Colts,Jaguars,Jaguars,23.7,29,688,0,21,1,53,0,0,0,0,22.2,9,200,0,3,1,42,8,1,0,0,1
2,Colts,Texans,Colts,26.6,23,613,2,15,2,98,1,0,1,0,22.2,9,200,0,3,1,42,8,1,0,0,0
10,Colts,Patriots,Colts,26.2,18,471,1,13,3,98,1,0,1,0,22.2,9,200,0,3,1,42,8,1,0,0,0
9,Colts,Panthers,Colts,26.5,24,637,0,19,2,52,0,1,0,0,22.2,9,200,0,3,1,42,8,1,0,0,0
3,Titans,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,20.7,18,372,0,11,0,33,14,0,1,1,1
5,Titans,Colts,Colts,22.2,9,200,0,3,1,42,8,1,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
1,Titans,Saints,Saints,21.2,22,466,0,11,0,28,1,1,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
9,Titans,Steelers,Steelers,23.5,24,565,0,17,0,37,2,0,0,1,20.7,18,372,0,11,0,33,14,0,1,1,1
10,Titans,Buccaneers,Buccaneers,20.4,16,327,0,7,0,32,5,0,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
11,Titans,Jaguars,Jaguars,23.7,29,688,0,21,1,53,0,0,0,0,20.7,18,372,0,11,0,33,14,0,1,1,1
17,Titans,Texans,Texans,26.6,23,613,2,15,2,98,1,0,1,0,20.7,18,372,0,11,0,33,14,0,1,1,1
14,Titans,Dolphins,Titans,24.5,18,441,0,16,0,33,1,0,0,0,20.7,18,372,0,11,0,33,14,0,1,1,0
4,Ravens,Browns,Ravens,23.7,11,261,0,7,0,36,2,0,3,0,24.5,13,319,0,8,1,78,4,0,0,0,0
5,Ravens,Steelers,Steelers,23.5,24,565,0,17,0,37,2,0,0,1,24.5,13,319,0,8,1,78,4,0,0,0,1
12,Ravens,Chargers,Ravens,21.7,18,390,0,13,1,46,2,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
2,Ravens,Bengals,Ravens,22.8,17,387,0,11,2,46,0,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
6,Ravens,Titans,Ravens,20.7,18,372,0,11,0,33,14,0,1,1,24.5,13,319,0,8,1,78,4,0,0,0,0
15,Ravens,Jaguars,Ravens,23.7,29,688,0,21,1,53,0,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
8,Ravens,Cardinals,Ravens,21.2,18,382,0,10,1,40,1,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
16,Ravens,49ers,Ravens,21.8,20,437,0,11,0,34,0,0,0,0,24.5,13,319,0,8,1,78,4,0,0,0,0
6,49ers,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,21.8,20,437,0,11,0,34,0,0,0,0,1
7,49ers,Vikings,Vikings,25.1,19,477,0,14,1,47,1,0,0,1,21.8,20,437,0,11,0,34,0,0,0,0,1
1,49ers,Steelers,49ers,23.5,24,565,0,17,0,37,2,0,0,1,21.8,20,437,0,11,0,34,0,0,0,0,0
17,49ers,Commanders,49ers,25.0,24,601,0,18,1,40,0,1,1,0,21.8,20,437,0,11,0,34,0,0,0,0,0
13,49ers,Eagles,49ers,19.5,13,254,0,5,0,38,10,1,1,0,21.8,20,437,0,11,0,34,0,0,0,0,0
12,49ers,Seahawks,49ers,26.2,26,680,0,24,1,66,0,0,1,0,21.8,20,437,0,11,0,34,0,0,0,0,0
10,49ers,Jaguars,49ers,23.7,29,688,0,21,1,53,0,0,0,0,21.8,20,437,0,11,0,34,0,0,0,0,0
2,49ers,Rams,49ers,16.1,9,145,0,4,0,36,18,0,0,1,21.8,20,437,0,11,0,34,0,0,0,0,0
15,49ers,Cardinals,49ers,21.2,18,382,0,10,1,40,1,0,0,0,21.8,20,437,0,11,0,34,0,0,0,0,0
9,Cardinals,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,21.2,18,382,0,10,1,40,1,0,0,0,1
13,Cardinals,Steelers,Cardinals,23.5,24,565,0,17,0,37,2,0,0,1,21.2,18,382,0,10,1,40,1,0,0,0,0
1,Cardinals,Commanders,Commanders,25.0,24,601,0,18,1,40,0,1,1,0,21.2,18,382,0,10,1,40,1,0,0,0,1
16,Cardinals,Bears,Bears,23.6,23,543,0,18,0,37,2,0,1,1,21.2,18,382,0,10,1,40,1,0,0,0,1
17,Cardinals,Eagles,Cardinals,19.5,13,254,0,5,0,38,10,1,1,0,21.2,18,382,0,10,1,40,1,0,0,0,0
7,Cardinals,Seahawks,Seahawks,26.2,26,680,0,24,1,66,0,0,1,0,21.2,18,382,0,10,1,40,1,0,0,0,1
11,Cardinals,Texans,Texans,26.6,23,613,2,15,2,98,1,0,1,0,21.2,18,382,0,10,1,40,1,0,0,0,1
6,Cardinals,Rams,Rams,16.1,9,145,0,4,0,36,18,0,0,1,21.2,18,382,0,10,1,40,1,0,0,0,1
4,Cardinals,49ers,49ers,21.8,20,437,0,11,0,34,0,0,0,0,21.2,18,382,0,10,1,40,1,0,0,0,1
11,Steelers,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,23.5,24,565,0,17,0,37,2,0,0,1,1
15,Steelers,Colts,Colts,22.2,9,200,0,3,1,42,8,1,0,0,23.5,24,565,0,17,0,37,2,0,0,1,1
18,Steelers,Ravens,Steelers,24.5,13,319,0,8,1,78,4,0,0,0,23.5,24,565,0,17,0,37,2,0,0,1,0
17,Steelers,Seahawks,Steelers,26.2,26,680,0,24,1,66,0,0,1,0,23.5,24,565,0,17,0,37,2,0,0,1,0
12,Steelers,Bengals,Steelers,22.8,17,387,0,11,2,46,0,0,0,0,23.5,24,565,0,17,0,37,2,0,0,1,0
4,Steelers,Texans,Texans,26.6,23,613,2,15,2,98,1,0,1,0,23.5,24,565,0,17,0,37,2,0,0,1,1
7,Steelers,Rams,Steelers,16.1,9,145,0,4,0,36,18,0,0,1,23.5,24,565,0,17,0,37,2,0,0,1,0
3,Steelers,Raiders,Steelers,23.8,11,262,0,9,1,40,1,0,0,1,23.5,24,565,0,17,0,37,2,0,0,1,0
14,Jaguars,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,23.7,29,688,0,21,1,53,0,0,0,0,1
1,Jaguars,Colts,Jaguars,22.2,9,200,0,3,1,42,8,1,0,0,23.7,29,688,0,21,1,53,0,0,0,0,0
7,Jaguars,Saints,Jaguars,21.2,22,466,0,11,0,28,1,1,0,0,23.7,29,688,0,21,1,53,0,0,0,0,0
8,Jaguars,Steelers,Jaguars,23.5,24,565,0,17,0,37,2,0,0,1,23.7,29,688,0,21,1,53,0,0,0,0,0
5,Jaguars,Bills,Jaguars,20.5,17,349,0,10,1,41,4,0,1,0,23.7,29,688,0,21,1,53,0,0,0,0,0
18,Jaguars,Titans,Titans,20.7,18,372,0,11,0,33,14,0,1,1,23.7,29,688,0,21,1,53,0,0,0,0,1
16,Jaguars,Buccaneers,Buccaneers,20.4,16,327,0,7,0,32,5,0,0,0,23.7,29,688,0,21,1,53,0,0,0,0,1
12,Jaguars,Texans,Jaguars,26.6,23,613,2,15,2,98,1,0,1,0,23.7,29,688,0,21,1,53,0,0,0,0,0
17,Jets,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,22.6,24,542,0,16,0,34,1,2,0,0,1
5,Jets,Broncos,Jets,24.9,16,398,1,11,1,99,2,1,1,0,22.6,24,542,0,16,0,34,1,2,0,0,0
8,Jets,Giants,Jets,19.2,13,249,0,7,0,36,3,0,1,0,22.6,24,542,0,16,0,34,1,2,0,0,0
11,Jets,Bills,Bills,20.5,17,349,0,10,1,41,4,0,1,0,22.6,24,542,0,16,0,34,1,2,0,0,1
2,Jets,Cowboys,Cowboys,21.8,18,393,0,10,2,63,0,0,1,0,22.6,24,542,0,16,0,34,1,2,0,0,1
18,Jets,Patriots,Jets,26.2,18,471,1,13,3,98,1,0,1,0,22.6,24,542,0,16,0,34,1,2,0,0,0
15,Jets,Dolphins,Dolphins,24.5,18,441,0,16,0,33,1,0,0,0,22.6,24,542,0,16,0,34,1,2,0,0,1
10,Jets,Raiders,Raiders,23.8,11,262,0,9,1,40,1,0,0,1,22.6,24,542,0,16,0,34,1,2,0,0,1
4,Rams,Colts,Rams,22.2,9,200,0,3,1,42,8,1,0,0,16.1,9,145,0,4,0,36,18,0,0,1,0
14,Rams,Ravens,Ravens,24.5,13,319,0,8,1,78,4,0,0,0,16.1,9,145,0,4,0,36,18,0,0,1,1
1,Rams,Seahawks,Rams,26.2,26,680,0,24,1,66,0,0,1,0,16.1,9,145,0,4,0,36,18,0,0,1,0
17,Rams,Giants,Rams,19.2,13,249,0,7,0,36,3,0,1,0,16.1,9,145,0,4,0,36,18,0,0,1,0
3,Rams,Bengals,Bengals,22.8,17,387,0,11,2,46,0,0,0,0,16.1,9,145,0,4,0,36,18,0,0,1,1
12,Rams,Cardinals,Rams,21.2,18,382,0,10,1,40,1,0,0,0,16.1,9,145,0,4,0,36,18,0,0,1,0
8,Rams,Cowboys,Cowboys,21.8,18,393,0,10,2,63,0,0,1,0,16.1,9,145,0,4,0,36,18,0,0,1,1
18,Rams,49ers,Rams,21.8,20,437,0,11,0,34,0,0,0,0,16.1,9,145,0,4,0,36,18,0,0,1,0
9,Rams,Packers,Packers,25.3,31,783,0,26,2,51,0,0,2,0,16.1,9,145,0,4,0,36,18,0,0,1,1
7,Browns,Colts,Browns,22.2,9,200,0,3,1,42,8,1,0,0,23.7,11,261,0,7,0,36,2,0,3,0,0
2,Browns,Steelers,Steelers,23.5,24,565,0,17,0,37,2,0,0,1,23.7,11,261,0,7,0,36,2,0,3,0,1
10,Browns,Ravens,Browns,24.5,13,319,0,8,1,78,4,0,0,0,23.7,11,261,0,7,0,36,2,0,3,0,0
12,Browns,Broncos,Broncos,24.9,16,398,1,11,1,99,2,1,1,0,23.7,11,261,0,7,0,36,2,0,3,0,1
8,Browns,Seahawks,Seahawks,26.2,26,680,0,24,1,66,0,0,1,0,23.7,11,261,0,7,0,36,2,0,3,0,1
18,Browns,Bengals,Bengals,22.8,17,387,0,11,2,46,0,0,0,0,23.7,11,261,0,7,0,36,2,0,3,0,1
16,Browns,Texans,Browns,26.6,23,613,2,15,2,98,1,0,1,0,23.7,11,261,0,7,0,36,2,0,3,0,0
13,Browns,Rams,Rams,16.1,9,145,0,4,0,36,18,0,0,1,23.7,11,261,0,7,0,36,2,0,3,0,1
5,Chiefs,Vikings,Chiefs,25.1,19,477,0,14,1,47,1,0,0,1,20.1,12,241,0,8,0,31,6,0,1,0,0
8,Chiefs,Broncos,Broncos,24.9,16,398,1,11,1,99,2,1,1,0,20.1,12,241,0,8,0,31,6,0,1,0,1
18,Chiefs,Chargers,Chiefs,21.7,18,390,0,13,1,46,2,0,0,0,20.1,12,241,0,8,0,31,6,0,1,0,0
4,Chiefs,Jets,Chiefs,22.6,24,542,0,16,0,34,1,2,0,0,20.1,12,241,0,8,0,31,6,0,1,0,0
2,Chiefs,Jaguars,Chiefs,23.7,29,688,0,21,1,53,0,0,0,0,20.1,12,241,0,8,0,31,6,0,1,0,0
15,Chiefs,Patriots,Patriots,26.2,18,471,1,13,3,98,1,0,1,0,20.1,12,241,0,8,0,31,6,0,1,0,0
13,Chiefs,Packers,Packers,25.3,31,783,0,26,2,51,0,0,2,0,20.1,12,241,0,8,0,31,6,0,1,0,1
12,Chiefs,Raiders,Chiefs,23.8,11,262,0,9,1,40,1,0,0,1,20.1,12,241,0,8,0,31,6,0,1,0,0
15,Giants,Saints,Saints,21.2,22,466,0,11,0,28,1,1,0,0,19.2,13,249,0,7,0,36,3,0,1,0,1
11,Giants,Commanders,Giants,25.0,24,601,0,18,1,40,0,1,1,0,19.2,13,249,0,7,0,36,3,0,1,0,0
16,Giants,Eagles,Eagles,19.5,13,254,0,5,0,38,10,1,1,0,19.2,13,249,0,7,0,36,3,0,1,0,1
6,Giants,Bills,Bills,20.5,17,349,0,10,1,41,4,0,1,0,19.2,13,249,0,7,0,36,3,0,1,0,1
2,Giants,Cardinals,Giants,21.2,18,382,0,10,1,40,1,0,0,0,19.2,13,249,0,7,0,36,3,0,1,0,0
10,Giants,Cowboys,Cowboys,21.8,18,393,0,10,2,63,0,0,1,0,19.2,13,249,0,7,0,36,3,0,1,0,1
3,Giants,49ers,49ers,21.8,20,437,0,11,0,34,0,0,0,0,19.2,13,249,0,7,0,36,3,0,1,0,1
5,Giants,Dolphins,Dolphins,24.5,18,441,0,16,0,33,1,0,0,0,19.2,13,249,0,7,0,36,3,0,1,0,1
9,Giants,Raiders,Raiders,23.8,11,262,0,9,1,40,1,0,0,1,19.2,13,249,0,7,0,36,3,0,1,0,1
18,Falcons,Saints,Saints,21.2,22,466,0,11,0,28,1,1,0,0,16.9,14,236,0,5,0,29,0,0,0,0,1
17,Falcons,Bears,Bears,23.6,23,543,0,18,0,37,2,0,1,1,16.9,14,236,0,5,0,29,0,0,0,0,1
3,Falcons,Lions,Lions,22.2,19,421,0,11,0,31,2,1,0,1,16.9,14,236,0,5,0,29,0,0,0,0,1
8,Falcons,Titans,Titans,20.7,18,372,0,11,0,33,14,0,1,1,16.9,14,236,0,5,0,29,0,0,0,0,1
7,Falcons,Buccaneers,Falcons,20.4,16,327,0,7,0,32,5,0,0,0,16.9,14,236,0,5,0,29,0,0,0,0,0
4,Falcons,Jaguars,Jaguars,23.7,29,688,0,21,1,53,0,0,0,0,16.9,14,236,0,5,0,29,0,0,0,0,1
10,Falcons,Cardinals,Cardinals,21.2,18,382,0,10,1,40,1,0,0,0,16.9,14,236,0,5,0,29,0,0,0,0,1
15,Falcons,Panthers,Panthers,26.5,24,637,0,19,2,52,0,1,0,0,16.9,14,236,0,5,0,29,0,0,0,0,1
14,Patriots,Steelers,Patriots,23.5,24,565,0,17,0,37,2,0,0,1,26.2,18,471,1,13,3,98,1,0,1,0,0
16,Patriots,Broncos,Patriots,24.9,16,398,1,11,1,99,2,1,1,0,26.2,18,471,1,13,3,98,1,0,1,0,0
1,Patriots,Eagles,Eagles,19.5,13,254,0,5,0,38,10,1,1,0,26.2,18,471,1,13,3,98,1,0,1,0,1
12,Patriots,Giants,Giants,19.2,13,249,0,7,0,36,3,0,1,0,26.2,18,471,1,13,3,98,1,0,1,0,1
3,Patriots,Jets,Patriots,22.6,24,542,0,16,0,34,1,2,0,0,26.2,18,471,1,13,3,98,1,0,1,0,0
17,Patriots,Bills,Bills,20.5,17,349,0,10,1,41,4,0,1,0,26.2,18,471,1,13,3,98,1,0,1,0,1
4,Patriots,Cowboys,Cowboys,21.8,18,393,0,10,2,63,0,0,1,0,26.2,18,471,1,13,3,98,1,0,1,0,1
8,Patriots,Dolphins,Dolphins,24.5,18,441,0,16,0,33,1,0,0,0,26.2,18,471,1,13,3,98,1,0,1,0,1
6,Patriots,Raiders,Raiders,23.8,11,262,0,9,1,40,1,0,0,1,26.2,18,471,1,13,3,98,1,0,1,0,1
18,Cowboys,Commanders,Cowboys,25.0,24,601,0,18,1,40,0,1,1,0,21.8,18,393,0,10,2,63,0,0,1,0,0
9,Cowboys,Eagles,Eagles,19.5,13,254,0,5,0,38,10,1,1,0,21.8,18,393,0,10,2,63,0,0,1,0,1
6,Cowboys,Chargers,Cowboys,21.7,18,390,0,13,1,46,2,0,0,0,21.8,18,393,0,10,2,63,0,0,1,0,0
1,Cowboys,Giants,Cowboys,19.2,13,249,0,7,0,36,3,0,1,0,21.8,18,393,0,10,2,63,0,0,1,0,0
15,Cowboys,Bills,Bills,20.5,17,349,0,10,1,41,4,0,1,0,21.8,18,393,0,10,2,63,0,0,1,0,1
3,Cowboys,Cardinals,Cardinals,21.2,18,382,0,10,1,40,1,0,0,0,21.8,18,393,0,10,2,63,0,0,1,0,1
11,Cowboys,Panthers,Cowboys,26.5,24,637,0,19,2,52,0,1,0,0,21.8,18,393,0,10,2,63,0,0,1,0,0
5,Cowboys,49ers,49ers,21.8,20,437,0,11,0,34,0,0,0,0,21.8,18,393,0,10,2,63,0,0,1,0,1
16,Cowboys,Dolphins,Dolphins,24.5,18,441,0,16,0,33,1,0,0,0,21.8,18,393,0,10,2,63,0,0,1,0,1
9,Seahawks,Ravens,Ravens,24.5,13,319,0,8,1,78,4,0,0,0,26.2,26,680,0,24,1,66,0,0,1,0,1
4,Seahawks,Giants,Seahawks,19.2,13,249,0,7,0,36,3,0,1,0,26.2,26,680,0,24,1,66,0,0,1,0,0
6,Seahawks,Bengals,Bengals,22.8,17,387,0,11,2,46,0,0,0,0,26.2,26,680,0,24,1,66,0,0,1,0,1
2,Seahawks,Lions,Seahawks,22.2,19,421,0,11,0,31,2,1,0,1,26.2,26,680,0,24,1,66,0,0,1,0,0
16,Seahawks,Titans,Seahawks,20.7,18,372,0,11,0,33,14,0,1,1,26.2,26,680,0,24,1,66,0,0,1,0,0
11,Seahawks,Rams,Rams,16.1,9,145,0,4,0,36,18,0,0,1,26.2,26,680,0,24,1,66,0,0,1,0,1
18,Seahawks,Cardinals,Seahawks,21.2,18,382,0,10,1,40,1,0,0,0,26.2,26,680,0,24,1,66,0,0,1,0,0
13,Seahawks,Cowboys,Cowboys,21.8,18,393,0,10,2,63,0,0,1,0,26.2,26,680,0,24,1,66,0,0,1,0,1
14,Seahawks,49ers,49ers,21.8,20,437,0,11,0,34,0,0,0,0,26.2,26,680,0,24,1,66,0,0,1,0,1
