Week,Away Team,Home Team,Winning Team,KO_home,Yds_home,TB_home,TB %_home,Ret_home,Ret Avg_home,OSK_home,OSK Rec_home,OOB_home,TD_home,KO_away,Yds_away,TB_away,TB %_away,Ret_away,Ret Avg_away,OSK_away,OSK Rec_away,OOB_away,TD_away,Home_Win
1,Lions,Chiefs,Lions,85,5565,74,87.1,11,28.3,0,0,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,0
16,Lions,Vikings,Lions,80,5131,61,76.2,17,23.8,1,0,1,0,93,5814,60,64.5,27,20.8,3,0,0,0,0
13,Lions,Saints,Lions,91,5828,76,83.5,12,18.8,1,0,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,0
7,Lions,Ravens,Ravens,104,6638,80,76.9,20,23.0,1,0,1,0,93,5814,60,64.5,27,20.8,3,0,0,0,1
14,Lions,Bears,Bears,89,5624,71,79.8,15,24.7,2,0,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,1
10,Lions,Chargers,Lions,81,5168,68,84.0,11,19.4,1,0,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,0
6,Lions,Buccaneers,Lions,82,5124,52,63.4,26,18.9,1,0,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,0
17,Lions,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,93,5814,60,64.5,27,20.8,3,0,0,0,1
4,Lions,Packers,Lions,86,5466,37,43.0,40,23.8,1,0,1,0,93,5814,60,64.5,27,20.8,3,0,0,0,0
3,Bears,Chiefs,Chiefs,85,5565,74,87.1,11,28.3,0,0,0,0,89,5624,71,79.8,15,24.7,2,0,0,0,1
15,Bears,Browns,Browns,92,5804,54,58.7,30,21.2,0,0,0,1,89,5624,71,79.8,15,24.7,2,0,0,0,1
12,Bears,Vikings,Bears,80,5131,61,76.2,17,23.8,1,0,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,0
9,Bears,Saints,Saints,91,5828,76,83.5,12,18.8,1,0,0,0,89,5624,71,79.8,15,24.7,2,0,0,0,1
5,Bears,Commanders,Bears,72,4520,64,88.9,5,27.8,3,0,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,0
8,Bears,Chargers,Chargers,81,5168,68,84.0,11,19.4,1,0,0,0,89,5624,71,79.8,15,24.7,2,0,0,0,1
11,Bears,Lions,Lions,93,5814,60,64.5,27,20.8,3,0,0,0,89,5624,71,79.8,15,24.7,2,0,0,0,0
2,Bears,Buccaneers,Buccaneers,82,5124,52,63.4,26,18.9,1,0,0,0,89,5624,71,79.8,15,24.7,2,0,0,0,1
18,Bears,Packers,Packers,86,5466,37,43.0,40,23.8,1,0,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,1
6,Broncos,Chiefs,Chiefs,85,5565,74,87.1,11,28.3,0,0,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,1
4,Broncos,Bears,Broncos,89,5624,71,79.8,15,24.7,2,0,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,0
14,Broncos,Chargers,Broncos,81,5168,68,84.0,11,19.4,1,0,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,0
10,Broncos,Bills,Broncos,95,5952,53,55.8,29,22.4,1,0,1,1,82,5190,71,86.6,8,21.5,3,0,0,0,0
15,Broncos,Lions,Lions,93,5814,60,64.5,27,20.8,3,0,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,1
13,Broncos,Texans,Texans,87,5419,56,64.4,26,21.9,2,1,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,1
3,Broncos,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,82,5190,71,86.6,8,21.5,3,0,0,0,1
18,Broncos,Raiders,Raiders,78,4977,48,61.5,28,22.8,1,0,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,1
7,Chargers,Chiefs,Chiefs,85,5565,74,87.1,11,28.3,0,0,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,1
3,Chargers,Vikings,Chargers,80,5131,61,76.2,17,23.8,1,0,1,0,81,5168,68,84.0,11,19.4,1,0,0,0,0
17,Chargers,Broncos,Broncos,82,5190,71,86.6,8,21.5,3,0,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,1
9,Chargers,Jets,Chargers,73,4651,62,84.9,8,15.4,1,0,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,0
2,Chargers,Titans,Titans,72,4508,34,47.2,35,23.3,2,0,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,1
13,Chargers,Patriots,Chargers,61,3830,39,63.9,21,20.6,1,0,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,0
11,Chargers,Packers,Packers,86,5466,37,43.0,40,23.8,1,0,1,0,81,5168,68,84.0,11,19.4,1,0,0,0,1
15,Chargers,Raiders,Raiders,78,4977,48,61.5,28,22.8,1,0,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,1
9,Dolphins,Chiefs,Chiefs,85,5565,74,87.1,11,28.3,0,0,0,0,98,6327,83,84.7,15,30.5,0,0,0,1,1
13,Dolphins,Commanders,Dolphins,72,4520,64,88.9,5,27.8,3,0,1,0,98,6327,83,84.7,15,30.5,0,0,0,1,0
17,Dolphins,Ravens,Ravens,104,6638,80,76.9,20,23.0,1,0,1,0,98,6327,83,84.7,15,30.5,0,0,0,1,1
7,Dolphins,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,98,6327,83,84.7,15,30.5,0,0,0,1,1
1,Dolphins,Chargers,Dolphins,81,5168,68,84.0,11,19.4,1,0,0,0,98,6327,83,84.7,15,30.5,0,0,0,1,0
12,Dolphins,Jets,Dolphins,73,4651,62,84.9,8,15.4,1,0,0,0,98,6327,83,84.7,15,30.5,0,0,0,1,0
4,Dolphins,Bills,Bills,95,5952,53,55.8,29,22.4,1,0,1,1,98,6327,83,84.7,15,30.5,0,0,0,1,1
2,Dolphins,Patriots,Dolphins,61,3830,39,63.9,21,20.6,1,0,0,0,98,6327,83,84.7,15,30.5,0,0,0,1,0
11,Eagles,Chiefs,Eagles,85,5565,74,87.1,11,28.3,0,0,0,0,91,5846,73,80.2,17,28.9,1,0,0,0,0
8,Eagles,Commanders,Eagles,72,4520,64,88.9,5,27.8,3,0,1,0,91,5846,73,80.2,17,28.9,1,0,0,0,0
15,Eagles,Seahawks,Seahawks,86,5428,55,64.0,22,22.2,1,0,1,0,91,5846,73,80.2,17,28.9,1,0,0,0,1
18,Eagles,Giants,Giants,65,4110,38,58.5,16,23.6,0,0,1,0,91,5846,73,80.2,17,28.9,1,0,0,0,1
6,Eagles,Jets,Jets,73,4651,62,84.9,8,15.4,1,0,0,0,91,5846,73,80.2,17,28.9,1,0,0,0,1
3,Eagles,Buccaneers,Eagles,82,5124,52,63.4,26,18.9,1,0,0,0,91,5846,73,80.2,17,28.9,1,0,0,0,0
5,Eagles,Rams,Eagles,92,5865,80,87.0,11,26.9,1,0,0,0,91,5846,73,80.2,17,28.9,1,0,0,0,0
14,Eagles,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,91,5846,73,80.2,17,28.9,1,0,0,0,1
14,Bills,Chiefs,Bills,85,5565,74,87.1,11,28.3,0,0,0,0,95,5952,53,55.8,29,22.4,1,0,1,1,0
3,Bills,Commanders,Bills,72,4520,64,88.9,5,27.8,3,0,1,0,95,5952,53,55.8,29,22.4,1,0,1,1,0
12,Bills,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,95,5952,53,55.8,29,22.4,1,0,1,1,1
16,Bills,Chargers,Bills,81,5168,68,84.0,11,19.4,1,0,0,0,95,5952,53,55.8,29,22.4,1,0,1,1,0
1,Bills,Jets,Jets,73,4651,62,84.9,8,15.4,1,0,0,0,95,5952,53,55.8,29,22.4,1,0,1,1,1
9,Bills,Bengals,Bengals,82,5162,63,76.8,13,17.0,2,0,0,0,95,5952,53,55.8,29,22.4,1,0,1,1,1
7,Bills,Patriots,Patriots,61,3830,39,63.9,21,20.6,1,0,0,0,95,5952,53,55.8,29,22.4,1,0,1,1,1
18,Bills,Dolphins,Bills,98,6327,83,84.7,15,30.5,0,0,0,1,95,5952,53,55.8,29,22.4,1,0,1,1,0
16,Raiders,Chiefs,Raiders,85,5565,74,87.1,11,28.3,0,0,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,0
17,Raiders,Colts,Colts,93,5960,72,77.4,15,26.1,0,0,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,1
7,Raiders,Bears,Bears,89,5624,71,79.8,15,24.7,2,0,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,1
1,Raiders,Broncos,Raiders,82,5190,71,86.6,8,21.5,3,0,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,0
4,Raiders,Chargers,Chargers,81,5168,68,84.0,11,19.4,1,0,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,1
2,Raiders,Bills,Bills,95,5952,53,55.8,29,22.4,1,0,1,1,78,4977,48,61.5,28,22.8,1,0,0,0,1
8,Raiders,Lions,Lions,93,5814,60,64.5,27,20.8,3,0,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,1
11,Raiders,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,78,4977,48,61.5,28,22.8,1,0,0,0,1
17,Bengals,Chiefs,Chiefs,85,5565,74,87.1,11,28.3,0,0,0,0,82,5162,63,76.8,13,17.0,2,0,0,0,1
1,Bengals,Browns,Browns,92,5804,54,58.7,30,21.2,0,0,0,1,82,5162,63,76.8,13,17.0,2,0,0,0,1
16,Bengals,Steelers,Steelers,76,4833,55,72.4,18,26.4,0,0,0,0,82,5162,63,76.8,13,17.0,2,0,0,0,1
11,Bengals,Ravens,Ravens,104,6638,80,76.9,20,23.0,1,0,1,0,82,5162,63,76.8,13,17.0,2,0,0,0,1
4,Bengals,Titans,Titans,72,4508,34,47.2,35,23.3,2,0,0,0,82,5162,63,76.8,13,17.0,2,0,0,0,1
13,Bengals,Jaguars,Bengals,86,5421,65,75.6,14,25.4,2,0,0,1,82,5162,63,76.8,13,17.0,2,0,0,0,0
5,Bengals,Cardinals,Bengals,79,4843,66,83.5,6,22.2,5,1,0,0,82,5162,63,76.8,13,17.0,2,0,0,0,0
8,Bengals,49ers,Bengals,97,6131,58,59.8,32,23.3,0,0,2,0,82,5162,63,76.8,13,17.0,2,0,0,0,0
1,Panthers,Falcons,Falcons,79,5128,66,83.5,11,23.7,0,0,1,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
14,Panthers,Saints,Saints,91,5828,76,83.5,12,18.8,1,0,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
10,Panthers,Bears,Bears,89,5624,71,79.8,15,24.7,2,0,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
3,Panthers,Seahawks,Seahawks,86,5428,55,64.0,22,22.2,1,0,1,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
5,Panthers,Lions,Lions,93,5814,60,64.5,27,20.8,3,0,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
12,Panthers,Titans,Titans,72,4508,34,47.2,35,23.3,2,0,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
13,Panthers,Buccaneers,Buccaneers,82,5124,52,63.4,26,18.9,1,0,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,1
17,Panthers,Jaguars,Jaguars,86,5421,65,75.6,14,25.4,2,0,0,1,62,3749,37,59.7,20,23.9,4,0,1,0,1
6,Panthers,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,62,3749,37,59.7,20,23.9,4,0,1,0,1
2,Packers,Falcons,Falcons,79,5128,66,83.5,11,23.7,0,0,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,1
17,Packers,Vikings,Packers,80,5131,61,76.2,17,23.8,1,0,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,0
10,Packers,Steelers,Steelers,76,4833,55,72.4,18,26.4,0,0,0,0,86,5466,37,43.0,40,23.8,1,0,1,0,1
1,Packers,Bears,Packers,89,5624,71,79.8,15,24.7,2,0,0,0,86,5466,37,43.0,40,23.8,1,0,1,0,0
7,Packers,Broncos,Broncos,82,5190,71,86.6,8,21.5,3,0,0,0,86,5466,37,43.0,40,23.8,1,0,1,0,1
14,Packers,Giants,Giants,65,4110,38,58.5,16,23.6,0,0,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,1
12,Packers,Lions,Packers,93,5814,60,64.5,27,20.8,3,0,0,0,86,5466,37,43.0,40,23.8,1,0,1,0,0
16,Packers,Panthers,Packers,62,3749,37,59.7,20,23.9,4,0,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,0
5,Packers,Raiders,Raiders,78,4977,48,61.5,28,22.8,1,0,0,0,86,5466,37,43.0,40,23.8,1,0,1,0,1
5,Texans,Falcons,Falcons,79,5128,66,83.5,11,23.7,0,0,1,0,87,5419,56,64.4,26,21.9,2,1,0,0,1
18,Texans,Colts,Texans,93,5960,72,77.4,15,26.1,0,0,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,0
1,Texans,Ravens,Ravens,104,6638,80,76.9,20,23.0,1,0,1,0,87,5419,56,64.4,26,21.9,2,1,0,0,1
14,Texans,Jets,Jets,73,4651,62,84.9,8,15.4,1,0,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,1
10,Texans,Bengals,Texans,82,5162,63,76.8,13,17.0,2,0,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,0
15,Texans,Titans,Texans,72,4508,34,47.2,35,23.3,2,0,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,0
3,Texans,Jaguars,Texans,86,5421,65,75.6,14,25.4,2,0,0,1,87,5419,56,64.4,26,21.9,2,1,0,0,0
8,Texans,Panthers,Panthers,62,3749,37,59.7,20,23.9,4,0,1,0,87,5419,56,64.4,26,21.9,2,1,0,0,1
6,Commanders,Falcons,Commanders,79,5128,66,83.5,11,23.7,0,0,1,0,72,4520,64,88.9,5,27.8,3,0,1,0,0
2,Commanders,Broncos,Commanders,82,5190,71,86.6,8,21.5,3,0,0,0,72,4520,64,88.9,5,27.8,3,0,1,0,0
4,Commanders,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,72,4520,64,88.9,5,27.8,3,0,1,0,1
10,Commanders,Seahawks,Seahawks,86,5428,55,64.0,22,22.2,1,0,1,0,72,4520,64,88.9,5,27.8,3,0,1,0,1
7,Commanders,Giants,Giants,65,4110,38,58.5,16,23.6,0,0,1,0,72,4520,64,88.9,5,27.8,3,0,1,0,1
16,Commanders,Jets,Jets,73,4651,62,84.9,8,15.4,1,0,0,0,72,4520,64,88.9,5,27.8,3,0,1,0,1
15,Commanders,Rams,Rams,92,5865,80,87.0,11,26.9,1,0,0,0,72,4520,64,88.9,5,27.8,3,0,1,0,1
12,Commanders,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,72,4520,64,88.9,5,27.8,3,0,1,0,1
9,Commanders,Patriots,Commanders,61,3830,39,63.9,21,20.6,1,0,0,0,72,4520,64,88.9,5,27.8,3,0,1,0,0
9,Vikings,Falcons,Vikings,79,5128,66,83.5,11,23.7,0,0,1,0,80,5131,61,76.2,17,23.8,1,0,1,0,0
6,Vikings,Bears,Vikings,89,5624,71,79.8,15,24.7,2,0,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,0
11,Vikings,Broncos,Broncos,82,5190,71,86.6,8,21.5,3,0,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,1
2,Vikings,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,1
15,Vikings,Bengals,Bengals,82,5162,63,76.8,13,17.0,2,0,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,1
18,Vikings,Lions,Lions,93,5814,60,64.5,27,20.8,3,0,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,1
4,Vikings,Panthers,Vikings,62,3749,37,59.7,20,23.9,4,0,1,0,80,5131,61,76.2,17,23.8,1,0,1,0,0
8,Vikings,Packers,Vikings,86,5466,37,43.0,40,23.8,1,0,1,0,80,5131,61,76.2,17,23.8,1,0,1,0,0
14,Vikings,Raiders,Vikings,78,4977,48,61.5,28,22.8,1,0,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,0
12,Saints,Falcons,Falcons,79,5128,66,83.5,11,23.7,0,0,1,0,91,5828,76,83.5,12,18.8,1,0,0,0,1
8,Saints,Colts,Saints,93,5960,72,77.4,15,26.1,0,0,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,0
10,Saints,Vikings,Vikings,80,5131,61,76.2,17,23.8,1,0,1,0,91,5828,76,83.5,12,18.8,1,0,0,0,1
17,Saints,Buccaneers,Saints,82,5124,52,63.4,26,18.9,1,0,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,0
6,Saints,Texans,Texans,87,5419,56,64.4,26,21.9,2,1,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,1
16,Saints,Rams,Rams,92,5865,80,87.0,11,26.9,1,0,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,1
5,Saints,Patriots,Saints,61,3830,39,63.9,21,20.6,1,0,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,0
2,Saints,Panthers,Saints,62,3749,37,59.7,20,23.9,4,0,1,0,91,5828,76,83.5,12,18.8,1,0,0,0,0
3,Saints,Packers,Packers,86,5466,37,43.0,40,23.8,1,0,1,0,91,5828,76,83.5,12,18.8,1,0,0,0,1
14,Buccaneers,Falcons,Buccaneers,79,5128,66,83.5,11,23.7,0,0,1,0,82,5124,52,63.4,26,18.9,1,0,0,0,0
12,Buccaneers,Colts,Colts,93,5960,72,77.4,15,26.1,0,0,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,1
1,Buccaneers,Vikings,Buccaneers,80,5131,61,76.2,17,23.8,1,0,1,0,82,5124,52,63.4,26,18.9,1,0,0,0,0
4,Buccaneers,Saints,Buccaneers,91,5828,76,83.5,12,18.8,1,0,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,0
8,Buccaneers,Bills,Bills,95,5952,53,55.8,29,22.4,1,0,1,1,82,5124,52,63.4,26,18.9,1,0,0,0,1
9,Buccaneers,Texans,Texans,87,5419,56,64.4,26,21.9,2,1,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,1
