Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cowboys,36,38,94.7,0,9,15,4,9,1,60,1
Jets,36,39,92.3,0,8,11,14,6,0,55,1
Bears,35,38,92.1,0,9,11,10,8,0,55,0
Seahawks,35,42,83.3,0,8,12,14,8,0,55,0
Browns,34,37,91.9,0,8,8,13,8,0,58,0
Texans,34,38,89.5,0,13,13,4,8,0,54,0
Colts,33,41,80.5,0,9,10,9,12,1,57,1
Chiefs,33,35,94.3,0,8,15,7,4,1,60,0
Falcons,32,37,86.5,0,10,10,11,6,0,54,0
Ravens,32,37,86.5,0,10,10,12,4,1,50,1
Rams,32,43,74.4,0,11,7,15,10,0,54,1
Chargers,31,33,93.9,0,7,8,9,9,0,55,1
Broncos,30,34,88.2,0,11,13,5,5,0,52,1
Jaguars,30,37,81.1,0,4,10,13,10,0,56,1
Saints,30,37,81.1,0,12,6,10,9,0,55,0
Eagles,30,32,93.8,0,9,8,7,7,1,61,0
Titans,29,30,96.7,0,9,9,6,6,0,53,0
Steelers,29,31,93.6,0,9,7,8,6,1,57,0
Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2
Cardinals,28,33,84.8,0,6,8,7,11,1,62,0
Packers,27,33,81.8,0,6,14,8,4,1,53,0
Bengals,26,31,83.9,0,5,6,8,12,0,56,0
Raiders,26,30,86.7,0,10,7,10,3,0,54,1
Panthers,25,30,83.3,0,6,7,9,8,0,56,0
Bills,24,29,82.8,0,4,13,6,6,0,54,1
Dolphins,24,28,85.7,0,6,7,8,7,0,57,2
Vikings,24,30,80.0,1,7,9,6,7,0,54,1
Giants,22,31,71.0,0,4,9,11,7,0,57,1
49ers,21,25,84.0,0,7,9,6,3,0,57,0
Lions,19,21,90.5,0,3,13,3,2,0,52,0
Commanders,19,24,79.2,0,3,7,9,4,1,61,1
Patriots,16,25,64.0,0,4,7,10,4,0,56,0