Team,offense_pa_Att,offense_pa_Cmp,offense_pa_Cmp %,offense_pa_Yds/Att,offense_pa_Pass Yds,offense_pa_TD,offense_pa_INT,offense_pa_Rate,offense_pa_1st,offense_pa_1st%,offense_pa_20,offense_pa_40,offense_pa_Lng,offense_pa_Sck,offense_pa_SckY,offense_ru_Att,offense_ru_Rush Yds,offense_ru_YPC,offense_ru_TD,offense_ru_20,offense_ru_40,offense_ru_Lng,offense_ru_Rush 1st,offense_ru_Rush 1st%,offense_ru_Rush FUM,offense_re_Rec,offense_re_Yds,offense_re_Yds/Rec,offense_re_TD,offense_re_20,offense_re_40,offense_re_Lng,offense_re_Rec 1st,offense_re_Rec 1st%,offense_re_Rec FUM,offense_do_3rd Att,offense_do_3rd Md,offense_do_4th Att,offense_do_4th Md,offense_do_Rec 1st,offense_do_Rec 1st%,offense_do_Rush 1st,offense_do_Rush 1st%,offense_do_Scrm Plys,offense_sc_Rsh TD,offense_sc_Rec TD,offense_sc_Tot TD,offense_sc_2-PT,defense_pa_Att,defense_pa_Cmp,defense_pa_Cmp %,defense_pa_Yds/Att,defense_pa_Yds,defense_pa_TD,defense_pa_INT,defense_pa_Rate,defense_pa_1st,defense_pa_1st%,defense_pa_20,defense_pa_40,defense_pa_Lng,defense_pa_Sck,defense_ru_Att,defense_ru_Rush Yds,defense_ru_YPC,defense_ru_TD,defense_ru_20,defense_ru_40,defense_ru_Lng,defense_ru_Rush 1st,defense_ru_Rush 1st%,defense_ru_Rush FUM,defense_re_Rec,defense_re_Yds,defense_re_Yds/Rec,defense_re_TD,defense_re_20,defense_re_40,defense_re_Lng,defense_re_Rec 1st,defense_re_Rec 1st%,defense_re_Rec FUM,defense_re_PDef,defense_in_INT,defense_in_INT TD,defense_in_INT Yds,defense_in_Lng,defense_fu_FF,defense_fu_FR,defense_fu_FR TD,defense_fu_Rec FUM,defense_fu_Rush FUM,defense_do_3rd Att,defense_do_3rd Md,defense_do_4th Att,defense_do_4th Md,defense_do_Rec 1st,defense_do_Rec 1st%,defense_do_Rush 1st,defense_do_Rush 1st%,defense_do_Scrm Plys,defense_ta_Sck,defense_ta_Comb,defense_ta_Asst,defense_ta_Solo,defense_sc_FR TD,defense_sc_SFTY,defense_sc_INT TD,specialteams_fe_FGM,specialteams_fe_Att,specialteams_fe_FG %,specialteams_fe_1-19 > A-M,specialteams_fe_20-29 > A-M,specialteams_fe_30-39 > A-M,specialteams_fe_40-49 > A-M,specialteams_fe_50-59 > A-M,specialteams_fe_60+ > A-M,specialteams_fe_Lng,specialteams_fe_FG Blk,specialteams_ki_Avg,specialteams_ki_Ret_x,specialteams_ki_Yds_x,specialteams_ki_KRet TD,specialteams_ki_20,specialteams_ki_40,specialteams_ki_Lng,specialteams_ki_FC,specialteams_ki_FUM,specialteams_ki_FG Blk,specialteams_ki_XP Blk,specialteams_pu_Avg_x,specialteams_pu_Ret_x,specialteams_pu_Yds_x,specialteams_pu_PRet T,specialteams_pu_20,specialteams_pu_40,specialteams_pu_Lng_x,specialteams_pu_FC_x,specialteams_pu_FUM,specialteams_pu_P Blk_x,specialteams_pu_Net Avg,specialteams_pu_Net Yds,specialteams_pu_Punts,specialteams_pu_Avg_y,specialteams_pu_Lng_y,specialteams_pu_Yds_y,specialteams_pu_IN 20,specialteams_pu_OOB,specialteams_pu_Dn,specialteams_pu_TB,specialteams_pu_FC_y,specialteams_pu_Ret_y,specialteams_pu_RetY,specialteams_pu_TD,specialteams_pu_P Blk_y,specialteams_ki_KO,specialteams_ki_Yds_y,specialteams_ki_TB,specialteams_ki_TB %,specialteams_ki_Ret_y,specialteams_ki_Ret Avg,specialteams_ki_OSK,specialteams_ki_OSK Rec,specialteams_ki_OOB,specialteams_ki_TD,specialteams_sc_FGM,specialteams_sc_FG %,specialteams_sc_XPM,specialteams_sc_XP Pct,specialteams_sc_KRet TD,specialteams_sc_PRet T
Commanders,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,359,1592,4.4,14,8,0,29,99,27.6,6,407,4174,10.3,24,48,5,51,190,46.7,5,216,77,29,16,190,46.7,99,27.6,1060,14,24,39,3,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,480,2155,4.5,15,14,1,64,121,25.2,8,396,4627,11.7,39,60,12,78,218,55.0,3,98,8,0,85,52,10,10,0,3,8,226,94,21,13,218,55.0,121,25.2,1117,65,1039,388,611,0,0,0,19,24,79.2,0,3,7,9,4,1,61,1,25.0,24,601,0,18,1,40,0,1,1,0,7.9,35,278,0,3,1,61,14,2,0,41.8,3050,73,46.0,66,3361,30,1,11,2,25,34,271,0,2,72,4520,64,88.9,5,27.8,3,0,1,0,19,79.2,32,91.4,0,0
Chiefs,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,417,1784,4.3,9,10,1,48,107,25.7,2,421,4383,10.4,28,52,8,67,216,51.3,7,220,96,20,10,216,51.3,107,25.7,1080,9,28,39,0,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,432,1925,4.5,10,7,4,63,107,24.8,7,340,3352,9.9,19,39,3,60,169,49.7,6,71,8,0,69,24,15,9,2,6,7,224,83,28,13,169,49.7,107,24.8,1045,28,1056,342,664,2,0,0,33,35,94.3,0,8,15,7,4,1,60,0,20.1,12,241,0,8,0,31,6,0,1,0,9.3,41,380,0,7,1,50,17,5,0,41.8,2469,59,47.0,68,2776,20,4,10,5,20,20,207,0,0,85,5565,74,87.1,11,28.3,0,0,0,0,33,94.3,38,100.0,0,0
Chargers,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,431,1642,3.8,11,9,3,55,89,20.6,6,409,4312,10.5,24,55,7,79,204,49.9,8,237,91,32,15,204,49.9,89,20.6,1106,11,24,36,1,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,467,1924,4.1,18,11,1,75,110,23.6,8,389,4580,11.8,26,61,14,70,203,52.2,3,86,9,0,31,9,15,12,0,3,8,232,89,32,19,203,52.2,110,23.6,1113,43,1087,340,677,0,0,0,31,33,93.9,0,7,8,9,9,0,55,1,21.7,18,390,0,13,1,46,2,0,0,0,16.0,24,385,1,6,1,87,29,3,0,42.3,3174,75,46.3,83,3475,30,4,8,4,31,28,221,0,0,81,5168,68,84.0,11,19.4,1,0,0,0,31,93.9,35,100.0,0,1
Vikings,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62,47,341,393,1553,4.0,7,5,0,31,79,20.1,9,424,4700,11.1,30,74,7,62,220,51.9,4,223,85,29,17,220,51.9,79,20.1,1071,7,30,39,1,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70,43,446,1678,3.8,14,2,1,43,104,23.3,7,426,4288,10.1,23,51,7,70,208,48.8,9,91,11,0,112,43,22,11,2,9,7,232,96,25,18,208,48.8,104,23.3,1095,47,1046,329,682,2,0,0,24,30,80.0,1,7,9,6,7,0,54,1,25.1,19,477,0,14,1,47,1,0,0,1,7.8,37,289,0,3,0,25,14,1,0,41.2,2470,60,48.1,68,2887,16,7,2,7,16,28,277,0,0,80,5131,61,76.2,17,23.8,1,0,1,0,24,80.0,36,94.7,0,0
Browns,624,355,56.9,6.4,4011,24,23,73.7,173,27.7,53,15,75,45,318,518,2017,3.9,15,9,3,69,121,23.4,9,355,4011,11.3,24,53,15,75,173,48.7,5,253,80,32,18,173,48.7,121,23.4,1187,15,24,42,6,535,307,57.4,5.9,3149,23,18,74.7,136,25.4,39,7,75,49,420,1793,4.3,15,18,3,74,87,20.7,5,307,3149,10.3,23,39,7,75,136,44.3,2,95,18,2,135,34,14,10,1,2,5,230,67,15,6,136,44.3,87,20.7,1004,45,1166,430,666,1,0,2,34,37,91.9,0,8,8,13,8,0,58,0,23.7,11,261,0,7,0,36,2,0,3,0,8.4,41,343,0,1,0,21,36,2,0,42.4,3819,90,49.4,73,4449,31,13,7,9,16,45,450,0,0,92,5804,54,58.7,30,21.2,0,0,0,1,34,91.9,30,90.9,0,0
Jaguars,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,617,404,65.5,7.1,4355,27,16,89.8,198,32.1,47,13,76,40,421,1752,4.2,15,13,1,69,99,23.5,4,404,4355,10.8,27,47,13,76,198,49.0,5,73,16,2,264,61,12,11,0,5,4,230,84,41,21,198,49.0,99,23.5,1078,41,1096,351,711,0,0,2,30,37,81.1,0,4,10,13,10,0,56,1,23.7,29,688,0,21,1,53,0,0,0,0,10.2,29,297,0,4,1,48,17,2,0,43.8,2670,61,47.4,65,2893,29,8,5,4,22,22,143,0,0,86,5421,65,75.6,14,25.4,2,0,0,1,30,81.1,35,100.0,0,0
Bengals,615,420,68.3,6.9,4257,27,14,93.0,208,33.8,46,10,80,50,362,383,1527,4.0,12,7,1,44,90,23.5,1,420,4257,10.1,27,46,10,80,208,49.5,3,218,82,20,9,208,49.5,90,23.5,1048,12,27,41,1,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,456,2145,4.7,17,17,1,41,127,27.8,6,364,4480,12.3,23,65,11,86,201,55.2,4,80,17,1,152,30,11,9,0,4,6,213,87,15,7,201,55.2,127,27.8,1055,50,1050,333,653,0,0,1,26,31,83.9,0,5,6,8,12,0,56,0,22.8,17,387,0,11,2,46,0,0,0,0,10.2,34,346,1,4,1,81,16,1,0,40.3,3066,76,44.3,62,3369,20,8,8,5,26,29,203,0,0,82,5162,63,76.8,13,17.0,2,0,0,0,26,83.9,40,100.0,0,1
Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,468,1920,4.1,14,12,1,46,113,24.2,4,428,4660,10.9,36,64,7,92,229,53.5,6,230,111,23,13,229,53.5,113,24.2,1122,14,36,57,4,509,308,60.5,6.8,3481,21,17,80.8,166,32.6,47,7,73,46,459,1910,4.2,14,9,2,45,108,23.5,8,308,3481,11.3,21,47,7,73,166,53.9,5,82,17,5,249,63,14,8,1,5,8,211,79,37,19,166,53.9,108,23.5,1014,40,1107,342,721,1,1,5,36,38,94.7,0,9,15,4,9,1,60,1,21.8,18,393,0,10,2,63,0,0,1,0,5.4,18,98,0,0,0,15,23,1,2,44.9,1975,44,51.4,63,2262,17,2,3,2,13,24,247,0,0,109,7068,99,90.8,8,24.8,0,0,1,0,36,94.7,49,94.2,0,0
Lions,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,408,1509,3.7,15,5,0,37,91,22.3,4,371,4562,12.3,28,69,9,92,209,56.3,3,57,16,1,209,50,13,6,0,3,4,202,75,26,15,209,56.3,91,22.3,1037,31,1154,410,674,0,1,1,19,21,90.5,0,3,13,3,2,0,52,0,22.2,19,421,0,11,0,31,2,1,0,1,11.4,29,331,0,3,1,42,23,1,0,41.7,2378,57,46.4,70,2646,26,3,8,5,20,21,168,0,0,93,5814,60,64.5,27,20.8,3,0,0,0,19,90.5,48,92.3,0,0
Saints,606,406,67.0,7.0,4225,28,11,94.8,199,32.8,52,11,58,35,235,480,1742,3.6,13,4,0,29,112,23.3,6,406,4225,10.4,28,52,11,58,199,49.0,0,235,91,19,9,199,49.0,112,23.3,1121,13,28,44,4,558,333,59.7,6.8,3768,22,18,79.6,167,29.9,48,9,71,34,462,2038,4.4,10,11,3,48,100,21.6,4,333,3768,11.3,22,48,9,71,167,50.2,4,68,18,1,185,74,8,11,1,4,4,226,78,26,11,167,50.2,100,21.6,1054,35,1152,428,679,1,0,1,30,37,81.1,0,12,6,10,9,0,55,0,21.2,22,466,0,11,0,28,1,1,0,0,12.2,32,392,1,2,1,76,24,0,0,39.8,2981,75,43.0,62,3224,31,10,8,4,24,29,163,0,0,91,5828,76,83.5,12,18.8,1,0,0,0,30,81.1,40,100.0,0,1
Jets,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,517,2108,4.1,14,10,2,48,111,21.5,13,313,3182,10.2,19,39,7,81,150,47.9,5,89,17,2,212,51,14,10,1,5,13,242,90,16,7,150,47.9,111,21.5,1087,64,1005,330,650,1,3,2,36,39,92.3,0,8,11,14,6,0,55,1,22.6,24,542,0,16,0,34,1,2,0,0,9.7,33,319,1,2,1,65,31,3,1,41.8,4136,99,48.8,62,4831,36,8,7,8,28,48,535,1,0,73,4651,62,84.9,8,15.4,1,0,0,0,36,92.3,16,94.1,0,1
Texans,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,565,382,67.6,7.7,4334,17,14,90.1,185,32.7,60,15,75,46,468,1643,3.5,19,5,1,49,110,23.5,5,382,4334,11.4,17,60,15,75,185,48.4,6,73,14,0,63,33,15,10,1,6,5,227,81,29,16,185,48.4,110,23.5,1079,47,1080,383,638,1,0,0,34,38,89.5,0,13,13,4,8,0,54,0,26.6,23,613,2,15,2,98,1,0,1,0,9.7,30,292,0,2,0,22,24,2,0,43.0,3443,80,46.7,74,3735,32,6,10,5,30,29,192,0,0,87,5419,56,64.4,26,21.9,2,1,0,0,34,89.5,31,93.9,2,0
Panthers,586,350,59.7,5.5,3245,13,10,75.2,150,25.6,31,5,48,65,504,445,1769,4.0,7,9,1,48,111,24.9,5,350,3245,9.3,13,31,5,48,150,42.9,7,249,85,48,23,150,42.9,111,24.9,1096,7,13,23,3,481,309,64.2,6.5,3109,19,8,88.8,162,33.7,39,9,75,27,508,2081,4.1,25,12,3,62,122,24.0,4,309,3109,10.1,19,39,9,75,162,52.4,3,59,8,2,203,99,5,3,0,3,4,221,84,10,7,162,52.4,122,24.0,1016,65,1096,405,644,0,0,2,25,30,83.3,0,6,7,9,8,0,56,0,26.5,24,637,0,19,2,52,0,1,0,0,8.7,37,322,1,4,1,79,20,2,0,43.0,3528,82,46.8,69,3838,25,6,14,5,26,31,210,0,0,62,3749,37,59.7,20,23.9,4,0,1,0,25,83.3,17,85.0,0,1
