Team,offense_pa_Att,offense_pa_Cmp,offense_pa_Cmp %,offense_pa_Yds/Att,offense_pa_Pass Yds,offense_pa_TD,offense_pa_INT,offense_pa_Rate,offense_pa_1st,offense_pa_1st%,offense_pa_20,offense_pa_40,offense_pa_Lng,offense_pa_Sck,offense_pa_SckY,offense_ru_Att,offense_ru_Rush Yds,offense_ru_YPC,offense_ru_TD,offense_ru_20,offense_ru_40,offense_ru_Lng,offense_ru_Rush 1st,offense_ru_Rush 1st%,offense_ru_Rush FUM,offense_re_Rec,offense_re_Yds,offense_re_Yds/Rec,offense_re_TD,offense_re_20,offense_re_40,offense_re_Lng,offense_re_Rec 1st,offense_re_Rec 1st%,offense_re_Rec FUM,offense_do_3rd Att,offense_do_3rd Md,offense_do_4th Att,offense_do_4th Md,offense_do_Rec 1st,offense_do_Rec 1st%,offense_do_Rush 1st,offense_do_Rush 1st%,offense_do_Scrm Plys,offense_sc_Rsh TD,offense_sc_Rec TD,offense_sc_Tot TD,offense_sc_2-PT,defense_pa_Att,defense_pa_Cmp,defense_pa_Cmp %,defense_pa_Yds/Att,defense_pa_Yds,defense_pa_TD,defense_pa_INT,defense_pa_Rate,defense_pa_1st,defense_pa_1st%,defense_pa_20,defense_pa_40,defense_pa_Lng,defense_pa_Sck,defense_ru_Att,defense_ru_Rush Yds,defense_ru_YPC,defense_ru_TD,defense_ru_20,defense_ru_40,defense_ru_Lng,defense_ru_Rush 1st,defense_ru_Rush 1st%,defense_ru_Rush FUM,defense_re_Rec,defense_re_Yds,defense_re_Yds/Rec,defense_re_TD,defense_re_20,defense_re_40,defense_re_Lng,defense_re_Rec 1st,defense_re_Rec 1st%,defense_re_Rec FUM,defense_re_PDef,defense_in_INT,defense_in_INT TD,defense_in_INT Yds,defense_in_Lng,defense_fu_FF,defense_fu_FR,defense_fu_FR TD,defense_fu_Rec FUM,defense_fu_Rush FUM,defense_do_3rd Att,defense_do_3rd Md,defense_do_4th Att,defense_do_4th Md,defense_do_Rec 1st,defense_do_Rec 1st%,defense_do_Rush 1st,defense_do_Rush 1st%,defense_do_Scrm Plys,defense_ta_Sck,defense_ta_Comb,defense_ta_Asst,defense_ta_Solo,defense_sc_FR TD,defense_sc_SFTY,defense_sc_INT TD,specialteams_fe_FGM,specialteams_fe_Att,specialteams_fe_FG %,specialteams_fe_1-19 > A-M,specialteams_fe_20-29 > A-M,specialteams_fe_30-39 > A-M,specialteams_fe_40-49 > A-M,specialteams_fe_50-59 > A-M,specialteams_fe_60+ > A-M,specialteams_fe_Lng,specialteams_fe_FG Blk,specialteams_ki_Avg,specialteams_ki_Ret_x,specialteams_ki_Yds_x,specialteams_ki_KRet TD,specialteams_ki_20,specialteams_ki_40,specialteams_ki_Lng,specialteams_ki_FC,specialteams_ki_FUM,specialteams_ki_FG Blk,specialteams_ki_XP Blk,specialteams_pu_Avg_x,specialteams_pu_Ret_x,specialteams_pu_Yds_x,specialteams_pu_PRet T,specialteams_pu_20,specialteams_pu_40,specialteams_pu_Lng_x,specialteams_pu_FC_x,specialteams_pu_FUM,specialteams_pu_P Blk_x,specialteams_pu_Net Avg,specialteams_pu_Net Yds,specialteams_pu_Punts,specialteams_pu_Avg_y,specialteams_pu_Lng_y,specialteams_pu_Yds_y,specialteams_pu_IN 20,specialteams_pu_OOB,specialteams_pu_Dn,specialteams_pu_TB,specialteams_pu_FC_y,specialteams_pu_Ret_y,specialteams_pu_RetY,specialteams_pu_TD,specialteams_pu_P Blk_y,specialteams_ki_KO,specialteams_ki_Yds_y,specialteams_ki_TB,specialteams_ki_TB %,specialteams_ki_Ret_y,specialteams_ki_Ret Avg,specialteams_ki_OSK,specialteams_ki_OSK Rec,specialteams_ki_OOB,specialteams_ki_TD,specialteams_sc_FGM,specialteams_sc_FG %,specialteams_sc_XPM,specialteams_sc_XP Pct,specialteams_sc_KRet TD,specialteams_sc_PRet T
Rams,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,604,367,60.8,7.0,4195,24,10,88.0,193,32.0,57,10,80,41,433,1816,4.2,14,10,1,51,108,24.9,7,367,4195,11.4,24,57,10,80,193,52.6,2,60,10,0,100,42,7,5,0,2,7,228,88,30,16,193,52.6,108,24.9,1078,34,1092,402,600,0,2,0,32,43,74.4,0,11,7,15,10,0,54,1,16.1,9,145,0,4,0,36,18,0,0,1,7.3,28,204,0,1,0,29,24,3,0,39.1,2466,63,49.2,72,3101,20,7,5,7,12,32,495,2,1,92,5865,80,87.0,11,26.9,1,0,0,0,32,74.4,32,86.5,0,0
Packers,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,523,342,65.4,7.3,3803,21,7,94.7,189,36.1,56,3,52,45,493,2181,4.4,15,16,1,40,120,24.3,5,342,3803,11.1,21,56,3,52,189,55.3,1,71,7,1,68,37,10,11,1,1,5,224,92,30,14,189,55.3,120,24.3,1061,30,1060,403,614,1,0,1,27,33,81.8,0,6,14,8,4,1,53,0,25.3,31,783,0,26,2,51,0,0,2,0,7.3,26,189,0,3,0,35,15,6,0,39.7,2264,57,46.2,68,2634,18,2,5,5,22,23,270,1,0,86,5466,37,43.0,40,23.8,1,0,1,0,27,81.8,34,87.2,0,0
Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,512,2212,4.3,22,9,1,42,158,30.9,9,385,4306,11.2,29,49,9,81,199,51.7,6,219,109,16,9,199,51.7,158,30.9,1115,22,29,54,3,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,409,1880,4.6,14,13,2,83,96,23.5,4,363,3676,10.1,18,44,1,48,183,50.4,7,67,18,2,148,40,14,11,0,7,4,215,83,19,10,183,50.4,96,23.5,1015,24,1124,385,683,0,0,2,24,29,82.8,0,4,13,6,6,0,54,1,20.5,17,349,0,10,1,41,4,0,1,0,11.6,31,360,1,4,1,96,25,3,0,39.9,2037,51,45.8,70,2334,24,5,7,3,17,19,237,1,0,95,5952,53,55.8,29,22.4,1,0,1,1,24,82.8,49,98.0,0,1
Seahawks,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,382,1580,4.1,11,13,1,45,93,24.4,2,371,4167,11.2,23,56,6,73,189,50.9,0,207,75,16,6,189,50.9,93,24.4,995,11,23,37,2,585,390,66.7,7.3,4259,21,11,92.1,202,34.5,57,10,54,47,515,2352,4.6,24,18,4,72,143,27.8,3,390,4259,10.9,21,57,10,54,202,51.8,5,74,11,3,177,97,13,8,0,5,3,231,107,26,13,202,51.8,143,27.8,1147,38,959,313,605,0,0,3,35,42,83.3,0,8,12,14,8,0,55,0,26.2,26,680,0,24,1,66,0,0,1,0,10.6,25,265,0,3,0,32,16,2,0,44.1,2911,66,50.0,73,3303,25,3,9,8,12,34,232,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,35,83.3,33,100.0,0,0
Colts,574,355,61.8,6.8,3882,18,10,85.0,178,31.0,45,11,75,41,216,479,2059,4.3,19,14,4,56,113,23.6,4,355,3882,10.9,18,45,11,75,178,50.1,3,232,82,32,16,178,50.1,113,23.6,1094,19,18,42,4,568,370,65.1,7.3,4157,21,15,88.2,192,33.8,54,8,75,51,518,2105,4.1,22,11,1,69,123,23.8,7,370,4157,11.2,21,54,8,75,192,51.9,4,79,15,3,256,66,17,9,1,4,7,240,89,26,17,192,51.9,123,23.8,1137,41,1133,437,597,1,1,3,33,41,80.5,0,9,10,9,12,1,57,1,22.2,9,200,0,3,1,42,8,1,0,0,9.2,29,267,0,2,0,32,22,3,1,43.0,2921,68,48.2,69,3281,21,7,10,0,13,38,360,0,1,93,5960,72,77.4,15,26.1,0,0,0,0,33,80.5,35,97.2,0,0
Buccaneers,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,439,1509,3.4,8,5,0,38,79,18.0,4,364,4044,11.1,28,60,12,75,188,51.6,7,236,98,18,12,188,51.6,79,18.0,1047,8,28,37,2,611,404,66.1,7.5,4568,23,13,92.0,213,34.9,65,9,76,48,422,1620,3.8,11,5,0,29,101,23.9,8,404,4568,11.3,23,65,9,76,213,52.7,6,89,13,1,93,28,18,12,0,6,8,225,92,25,12,213,52.7,101,23.9,1081,40,1055,383,629,0,1,1,29,31,93.6,0,8,12,3,8,0,57,2,20.4,16,327,0,7,0,32,5,0,0,0,9.4,25,234,0,1,1,51,18,2,0,41.8,3219,77,50.0,74,3854,26,11,9,9,9,38,455,0,0,82,5124,52,63.4,26,18.9,1,0,0,0,29,93.6,33,100.0,0,0
Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,456,2308,5.1,27,17,8,76,113,24.8,13,393,4698,12.0,30,59,12,78,223,56.7,4,202,85,25,11,223,56.7,113,24.8,1053,27,30,61,0,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,433,1650,3.8,15,6,2,55,109,25.2,5,380,4132,10.9,27,57,10,75,186,49.0,6,66,15,4,270,99,15,12,0,6,5,216,84,30,14,186,49.0,109,25.2,1057,31,1046,336,654,0,0,4,24,28,85.7,0,6,7,8,7,0,57,2,24.5,18,441,0,16,0,33,1,0,0,0,9.8,27,265,0,0,0,19,26,1,0,40.7,2157,53,45.7,66,2424,20,6,8,3,19,17,207,1,0,98,6327,83,84.7,15,30.5,0,0,0,1,24,85.7,58,98.3,0,0
Eagles,563,369,65.5,7.2,4067,24,16,89.2,197,35.0,50,7,63,39,233,510,2190,4.3,22,11,1,43,149,29.2,9,369,4067,11.0,24,50,7,63,197,53.4,4,225,108,26,19,197,53.4,149,29.2,1112,22,24,49,1,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,410,1758,4.3,13,8,0,29,111,27.1,5,425,4551,10.7,35,56,6,69,222,52.2,6,80,9,2,207,99,16,8,1,6,5,233,108,34,19,222,52.2,111,27.1,1105,39,1090,343,705,1,1,2,30,32,93.8,0,9,8,7,7,1,61,0,19.5,13,254,0,5,0,38,10,1,1,0,14.4,29,417,0,7,2,54,18,2,0,43.1,2240,52,48.8,63,2537,17,2,10,1,7,32,277,0,0,91,5846,73,80.2,17,28.9,1,0,0,0,30,93.8,45,97.8,0,0
Raiders,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,479,2015,4.2,15,10,1,51,117,24.4,6,376,3900,10.4,21,43,11,79,187,49.7,4,78,13,3,268,75,14,9,2,4,6,227,94,26,14,187,49.7,117,24.4,1089,40,994,356,590,2,1,3,26,30,86.7,0,10,7,10,3,0,54,1,23.8,11,262,0,9,1,40,1,0,0,1,10.0,25,249,0,1,0,32,18,2,0,45.1,3380,75,50.4,83,3783,34,15,3,6,20,31,283,0,0,78,4977,48,61.5,28,22.8,1,0,0,0,26,86.7,32,100.0,0,0
Patriots,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,415,1627,3.9,9,3,1,64,93,22.4,3,351,3392,9.7,16,34,4,58,153,43.6,5,222,67,25,9,153,43.6,93,22.4,1020,9,16,27,0,575,370,64.4,6.6,3791,19,10,87.0,181,31.5,48,6,51,36,480,1584,3.3,14,6,3,50,100,20.8,11,370,3791,10.2,19,48,6,51,181,48.9,3,89,10,0,96,32,15,8,1,3,11,237,86,19,10,181,48.9,100,20.8,1091,47,1006,339,635,1,1,0,16,25,64.0,0,4,7,10,4,0,56,0,26.2,18,471,1,13,3,98,1,0,1,0,6.3,33,208,0,2,0,25,26,5,0,40.8,3999,98,46.9,79,4598,38,14,8,8,24,44,439,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,16,64.0,24,96.0,1,0
Cardinals,555,355,64.0,6.2,3430,18,12,82.9,173,31.2,38,3,69,42,286,471,2365,5.0,17,23,5,49,127,27.0,9,355,3430,9.7,18,38,3,69,173,48.7,2,225,88,34,15,173,48.7,127,27.0,1068,17,18,36,4,506,347,68.6,7.6,3846,32,11,102.9,198,39.1,49,10,63,33,521,2434,4.7,19,12,1,56,141,27.1,4,347,3846,11.1,32,49,10,63,198,57.1,2,79,11,0,98,46,6,6,1,2,4,205,97,15,7,198,57.1,141,27.1,1060,42,1055,337,673,1,0,0,28,33,84.8,0,6,8,7,11,1,62,0,21.2,18,382,0,10,1,40,1,0,0,0,9.2,31,286,0,2,1,49,11,1,0,42.9,2746,64,49.6,77,3172,13,3,10,3,12,36,366,0,0,79,4843,66,83.5,6,22.2,5,1,0,0,28,84.8,22,95.6,0,0
Falcons,530,327,61.7,7.1,3775,17,17,80.5,181,34.2,46,10,75,40,251,522,2159,4.1,14,11,0,38,121,23.2,13,327,3775,11.5,17,46,10,75,181,55.4,2,225,90,19,8,181,55.4,121,23.2,1092,14,17,32,2,549,340,61.9,6.8,3707,24,8,90.3,183,33.3,49,6,61,42,499,2009,4.0,11,14,0,38,105,21.0,9,340,3707,10.9,24,49,6,61,183,53.8,3,78,8,1,124,92,19,8,0,3,9,228,77,23,11,183,53.8,105,21.0,1090,40,1140,437,624,0,1,1,32,37,86.5,0,10,10,11,6,0,54,0,16.9,14,236,0,5,0,29,0,0,0,0,7.2,33,239,0,1,0,23,18,2,0,41.5,3110,75,47.0,66,3523,27,12,5,3,24,31,353,0,0,79,5128,66,83.5,11,23.7,0,0,1,0,32,86.5,27,96.4,0,0
Giants,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,454,1874,4.1,10,12,0,36,97,21.4,8,338,3351,9.9,15,44,7,80,141,41.7,3,248,75,37,18,141,41.7,97,21.4,1057,10,15,29,1,582,371,63.8,7.1,4157,21,18,84.1,191,32.8,43,10,80,34,475,2251,4.7,24,15,1,76,134,28.2,6,371,4157,11.2,21,43,10,80,191,51.5,8,71,18,3,404,102,19,13,0,8,6,216,80,19,10,191,51.5,134,28.2,1091,85,1067,333,701,0,0,3,22,31,71.0,0,4,9,11,7,0,57,1,19.2,13,249,0,7,0,36,3,0,1,0,8.9,35,311,1,1,1,94,16,7,0,42.3,4022,95,46.0,74,4372,35,7,9,4,36,39,270,0,0,65,4110,38,58.5,16,23.6,0,0,1,0,22,71.0,24,96.0,0,1
Bears,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,534,2399,4.5,16,13,0,39,137,25.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,238,98,26,13,169,52.6,137,25.7,1097,16,19,37,1,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,388,1468,3.8,8,6,0,36,88,22.7,6,410,4245,10.4,31,48,10,75,196,47.8,4,80,22,2,245,45,13,6,0,4,6,222,98,23,10,196,47.8,88,22.7,1035,50,1116,372,693,0,0,2,35,38,92.1,0,9,11,10,8,0,55,0,23.6,23,543,0,18,0,37,2,0,1,1,8.2,23,188,0,1,0,31,21,2,0,38.0,2547,67,46.1,76,3088,18,6,10,8,13,30,381,1,0,89,5624,71,79.8,15,24.7,2,0,0,0,35,92.1,31,93.9,0,0
Broncos,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,451,1810,4.0,8,9,0,38,116,25.7,5,337,3566,10.6,28,44,13,60,154,45.7,7,220,81,20,13,154,45.7,116,25.7,1016,8,28,38,4,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,469,2331,5.0,15,17,5,72,119,25.4,12,382,4302,11.3,29,56,8,68,201,52.6,2,66,11,0,85,33,19,15,1,2,12,202,67,34,16,201,52.6,119,25.4,1083,52,1043,368,619,1,1,0,30,34,88.2,0,11,13,5,5,0,52,1,24.9,16,398,1,11,1,99,2,1,1,0,16.3,20,326,0,5,2,52,15,1,0,42.3,3344,79,46.3,68,3659,27,7,8,6,27,31,195,0,0,82,5190,71,86.6,8,21.5,3,0,0,0,30,88.2,29,93.6,1,0
Steelers,506,323,63.8,6.8,3421,13,9,84.6,153,30.2,41,9,86,36,258,487,2010,4.1,16,14,1,74,115,23.6,9,323,3421,10.6,13,41,9,86,153,47.4,6,232,85,19,9,153,47.4,115,23.6,1029,16,13,31,1,573,348,60.7,7.3,4164,23,16,84.7,186,32.5,63,6,80,47,454,1956,4.3,9,9,3,69,95,20.9,8,348,4164,12.0,23,63,6,80,186,53.4,6,66,16,1,184,32,19,11,1,6,8,233,91,18,8,186,53.4,95,20.9,1074,36,1116,459,583,1,1,1,29,31,93.6,0,9,7,8,6,1,57,0,23.5,24,565,0,17,0,37,2,0,0,1,8.6,30,257,0,3,0,34,13,3,2,39.2,3485,89,44.0,63,3914,33,11,11,8,30,29,269,0,0,76,4833,55,72.4,18,26.4,0,0,0,0,29,93.6,27,96.4,0,0
Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,541,2661,4.9,26,21,4,60,144,26.6,7,328,3881,11.8,27,52,9,80,180,54.9,6,207,87,14,8,180,54.9,144,26.6,1076,26,27,55,2,634,384,60.6,5.9,3717,18,18,74.6,175,27.6,46,6,71,60,415,1860,4.5,6,10,3,63,96,23.1,4,384,3717,9.7,18,46,6,71,175,45.6,3,47,18,1,258,52,16,13,0,3,4,250,91,32,13,175,45.6,96,23.1,1109,41,1077,339,704,0,1,1,32,37,86.5,0,10,10,12,4,1,50,1,24.5,13,319,0,8,1,78,4,0,0,0,14.4,29,417,1,6,2,76,27,0,0,39.8,2625,66,47.8,67,3158,28,8,4,5,17,32,433,1,1,104,6638,80,76.9,20,23.0,1,0,1,0,32,86.5,51,98.1,0,1
Titans,494,304,61.5,7.1,3512,14,11,83.2,158,32.0,54,10,70,64,445,444,1846,4.2,16,10,2,69,103,23.2,6,304,3512,11.6,14,54,10,70,158,52.0,2,212,71,20,11,158,52.0,103,23.2,1002,16,14,31,1,571,387,67.8,7.3,4181,20,6,96.4,189,33.1,52,11,59,45,480,1831,3.8,10,7,1,56,103,21.5,3,387,4181,10.8,20,52,11,59,189,48.8,2,79,6,1,86,44,13,8,0,2,3,231,89,21,12,189,48.8,103,21.5,1096,64,1031,387,587,0,0,1,29,30,96.7,0,9,9,6,6,0,53,0,20.7,18,372,0,11,0,33,14,0,1,1,7.9,42,330,0,1,0,21,14,3,0,43.5,3440,79,50.7,74,4008,36,10,9,12,19,29,328,0,1,72,4508,34,47.2,35,23.3,2,0,0,0,29,96.7,28,93.3,0,0
49ers,491,336,68.4,9.3,4577,33,12,110.2,207,42.2,75,15,76,34,193,499,2389,4.8,27,11,3,72,147,29.5,5,336,4577,13.6,33,75,15,76,207,61.6,3,179,85,13,7,207,61.6,147,29.5,1024,27,33,61,0,621,410,66.0,6.4,3949,20,22,79.6,190,30.6,45,5,60,48,369,1525,4.1,10,10,2,49,97,26.3,4,410,3949,9.6,20,45,5,60,190,46.3,6,60,22,1,309,66,10,6,0,6,4,215,88,28,14,190,46.3,97,26.3,1038,34,1069,409,625,0,1,1,21,25,84.0,0,7,9,6,3,0,57,0,21.8,20,437,0,11,0,34,0,0,0,0,8.0,34,273,0,0,0,19,13,2,0,42.7,2220,52,47.7,67,2480,26,4,11,2,13,22,220,0,0,97,6131,58,59.8,32,23.3,0,0,2,0,21,84.0,60,98.4,0,0
