Team,defense_pa_Att,defense_pa_Cmp,defense_pa_Cmp %,defense_pa_Yds/Att,defense_pa_Yds,defense_pa_TD,defense_pa_INT,defense_pa_Rate,defense_pa_1st,defense_pa_1st%,defense_pa_20,defense_pa_40,defense_pa_Lng,defense_pa_Sck,defense_ru_Att,defense_ru_Rush Yds,defense_ru_YPC,defense_ru_TD,defense_ru_20,defense_ru_40,defense_ru_Lng,defense_ru_Rush 1st,defense_ru_Rush 1st%,defense_ru_Rush FUM,defense_re_Rec,defense_re_Yds,defense_re_Yds/Rec,defense_re_TD,defense_re_20,defense_re_40,defense_re_Lng,defense_re_Rec 1st,defense_re_Rec 1st%,defense_re_Rec FUM,defense_re_PDef,defense_in_INT,defense_in_INT TD,defense_in_INT Yds,defense_in_Lng,defense_fu_FF,defense_fu_FR,defense_fu_FR TD,defense_fu_Rec FUM,defense_fu_Rush FUM,defense_do_3rd Att,defense_do_3rd Md,defense_do_4th Att,defense_do_4th Md,defense_do_Rec 1st,defense_do_Rec 1st%,defense_do_Rush 1st,defense_do_Rush 1st%,defense_do_Scrm Plys,defense_ta_Sck,defense_ta_Comb,defense_ta_Asst,defense_ta_Solo,defense_sc_FR TD,defense_sc_SFTY,defense_sc_INT TD
Commanders,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,480,2155,4.5,15,14,1,64,121,25.2,8,396,4627,11.7,39,60,12,78,218,55.0,3,98,8,0,85,52,10,10,0,3,8,226,94,21,13,218,55.0,121,25.2,1117,65,1039,388,611,0,0,0
Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,432,1925,4.5,10,7,4,63,107,24.8,7,340,3352,9.9,19,39,3,60,169,49.7,6,71,8,0,69,24,15,9,2,6,7,224,83,28,13,169,49.7,107,24.8,1045,28,1056,342,664,2,0,0
Chargers,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,467,1924,4.1,18,11,1,75,110,23.6,8,389,4580,11.8,26,61,14,70,203,52.2,3,86,9,0,31,9,15,12,0,3,8,232,89,32,19,203,52.2,110,23.6,1113,43,1087,340,677,0,0,0
Vikings,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70,43,446,1678,3.8,14,2,1,43,104,23.3,7,426,4288,10.1,23,51,7,70,208,48.8,9,91,11,0,112,43,22,11,2,9,7,232,96,25,18,208,48.8,104,23.3,1095,47,1046,329,682,2,0,0
Browns,535,307,57.4,5.9,3149,23,18,74.7,136,25.4,39,7,75,49,420,1793,4.3,15,18,3,74,87,20.7,5,307,3149,10.3,23,39,7,75,136,44.3,2,95,18,2,135,34,14,10,1,2,5,230,67,15,6,136,44.3,87,20.7,1004,45,1166,430,666,1,0,2
Jaguars,617,404,65.5,7.1,4355,27,16,89.8,198,32.1,47,13,76,40,421,1752,4.2,15,13,1,69,99,23.5,4,404,4355,10.8,27,47,13,76,198,49.0,5,73,16,2,264,61,12,11,0,5,4,230,84,41,21,198,49.0,99,23.5,1078,41,1096,351,711,0,0,2
Bengals,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,456,2145,4.7,17,17,1,41,127,27.8,6,364,4480,12.3,23,65,11,86,201,55.2,4,80,17,1,152,30,11,9,0,4,6,213,87,15,7,201,55.2,127,27.8,1055,50,1050,333,653,0,0,1
Cowboys,509,308,60.5,6.8,3481,21,17,80.8,166,32.6,47,7,73,46,459,1910,4.2,14,9,2,45,108,23.5,8,308,3481,11.3,21,47,7,73,166,53.9,5,82,17,5,249,63,14,8,1,5,8,211,79,37,19,166,53.9,108,23.5,1014,40,1107,342,721,1,1,5
Lions,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,408,1509,3.7,15,5,0,37,91,22.3,4,371,4562,12.3,28,69,9,92,209,56.3,3,57,16,1,209,50,13,6,0,3,4,202,75,26,15,209,56.3,91,22.3,1037,31,1154,410,674,0,1,1
Saints,558,333,59.7,6.8,3768,22,18,79.6,167,29.9,48,9,71,34,462,2038,4.4,10,11,3,48,100,21.6,4,333,3768,11.3,22,48,9,71,167,50.2,4,68,18,1,185,74,8,11,1,4,4,226,78,26,11,167,50.2,100,21.6,1054,35,1152,428,679,1,0,1
Jets,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,517,2108,4.1,14,10,2,48,111,21.5,13,313,3182,10.2,19,39,7,81,150,47.9,5,89,17,2,212,51,14,10,1,5,13,242,90,16,7,150,47.9,111,21.5,1087,64,1005,330,650,1,3,2
Texans,565,382,67.6,7.7,4334,17,14,90.1,185,32.7,60,15,75,46,468,1643,3.5,19,5,1,49,110,23.5,5,382,4334,11.4,17,60,15,75,185,48.4,6,73,14,0,63,33,15,10,1,6,5,227,81,29,16,185,48.4,110,23.5,1079,47,1080,383,638,1,0,0
Panthers,481,309,64.2,6.5,3109,19,8,88.8,162,33.7,39,9,75,27,508,2081,4.1,25,12,3,62,122,24.0,4,309,3109,10.1,19,39,9,75,162,52.4,3,59,8,2,203,99,5,3,0,3,4,221,84,10,7,162,52.4,122,24.0,1016,65,1096,405,644,0,0,2
Rams,604,367,60.8,7.0,4195,24,10,88.0,193,32.0,57,10,80,41,433,1816,4.2,14,10,1,51,108,24.9,7,367,4195,11.4,24,57,10,80,193,52.6,2,60,10,0,100,42,7,5,0,2,7,228,88,30,16,193,52.6,108,24.9,1078,34,1092,402,600,0,2,0
Packers,523,342,65.4,7.3,3803,21,7,94.7,189,36.1,56,3,52,45,493,2181,4.4,15,16,1,40,120,24.3,5,342,3803,11.1,21,56,3,52,189,55.3,1,71,7,1,68,37,10,11,1,1,5,224,92,30,14,189,55.3,120,24.3,1061,30,1060,403,614,1,0,1
Bills,552,363,65.8,6.7,3676,18,18,81.9,183,33.2,44,1,48,54,409,1880,4.6,14,13,2,83,96,23.5,4,363,3676,10.1,18,44,1,48,183,50.4,7,67,18,2,148,40,14,11,0,7,4,215,83,19,10,183,50.4,96,23.5,1015,24,1124,385,683,0,0,2
Seahawks,585,390,66.7,7.3,4259,21,11,92.1,202,34.5,57,10,54,47,515,2352,4.6,24,18,4,72,143,27.8,3,390,4259,10.9,21,57,10,54,202,51.8,5,74,11,3,177,97,13,8,0,5,3,231,107,26,13,202,51.8,143,27.8,1147,38,959,313,605,0,0,3
Colts,568,370,65.1,7.3,4157,21,15,88.2,192,33.8,54,8,75,51,518,2105,4.1,22,11,1,69,123,23.8,7,370,4157,11.2,21,54,8,75,192,51.9,4,79,15,3,256,66,17,9,1,4,7,240,89,26,17,192,51.9,123,23.8,1137,41,1133,437,597,1,1,3
Buccaneers,611,404,66.1,7.5,4568,23,13,92.0,213,34.9,65,9,76,48,422,1620,3.8,11,5,0,29,101,23.9,8,404,4568,11.3,23,65,9,76,213,52.7,6,89,13,1,93,28,18,12,0,6,8,225,92,25,12,213,52.7,101,23.9,1081,40,1055,383,629,0,1,1
Dolphins,568,380,66.9,7.3,4132,27,15,93.0,186,32.8,57,10,75,56,433,1650,3.8,15,6,2,55,109,25.2,5,380,4132,10.9,27,57,10,75,186,49.0,6,66,15,4,270,99,15,12,0,6,5,216,84,30,14,186,49.0,109,25.2,1057,31,1046,336,654,0,0,4
Eagles,652,425,65.2,7.0,4551,35,9,97.6,222,34.0,56,6,69,43,410,1758,4.3,13,8,0,29,111,27.1,5,425,4551,10.7,35,56,6,69,222,52.2,6,80,9,2,207,99,16,8,1,6,5,233,108,34,19,222,52.2,111,27.1,1105,39,1090,343,705,1,1,2
Raiders,564,376,66.7,6.9,3900,21,13,89.3,187,33.2,43,11,79,46,479,2015,4.2,15,10,1,51,117,24.4,6,376,3900,10.4,21,43,11,79,187,49.7,4,78,13,3,268,75,14,9,2,4,6,227,94,26,14,187,49.7,117,24.4,1089,40,994,356,590,2,1,3
Patriots,575,370,64.4,6.6,3791,19,10,87.0,181,31.5,48,6,51,36,480,1584,3.3,14,6,3,50,100,20.8,11,370,3791,10.2,19,48,6,51,181,48.9,3,89,10,0,96,32,15,8,1,3,11,237,86,19,10,181,48.9,100,20.8,1091,47,1006,339,635,1,1,0
Cardinals,506,347,68.6,7.6,3846,32,11,102.9,198,39.1,49,10,63,33,521,2434,4.7,19,12,1,56,141,27.1,4,347,3846,11.1,32,49,10,63,198,57.1,2,79,11,0,98,46,6,6,1,2,4,205,97,15,7,198,57.1,141,27.1,1060,42,1055,337,673,1,0,0
Falcons,549,340,61.9,6.8,3707,24,8,90.3,183,33.3,49,6,61,42,499,2009,4.0,11,14,0,38,105,21.0,9,340,3707,10.9,24,49,6,61,183,53.8,3,78,8,1,124,92,19,8,0,3,9,228,77,23,11,183,53.8,105,21.0,1090,40,1140,437,624,0,1,1
Giants,582,371,63.8,7.1,4157,21,18,84.1,191,32.8,43,10,80,34,475,2251,4.7,24,15,1,76,134,28.2,6,371,4157,11.2,21,43,10,80,191,51.5,8,71,18,3,404,102,19,13,0,8,6,216,80,19,10,191,51.5,134,28.2,1091,85,1067,333,701,0,0,3
Bears,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,388,1468,3.8,8,6,0,36,88,22.7,6,410,4245,10.4,31,48,10,75,196,47.8,4,80,22,2,245,45,13,6,0,4,6,222,98,23,10,196,47.8,88,22.7,1035,50,1116,372,693,0,0,2
Broncos,572,382,66.8,7.5,4302,29,11,98.0,201,35.1,56,8,68,42,469,2331,5.0,15,17,5,72,119,25.4,12,382,4302,11.3,29,56,8,68,201,52.6,2,66,11,0,85,33,19,15,1,2,12,202,67,34,16,201,52.6,119,25.4,1083,52,1043,368,619,1,1,0
Steelers,573,348,60.7,7.3,4164,23,16,84.7,186,32.5,63,6,80,47,454,1956,4.3,9,9,3,69,95,20.9,8,348,4164,12.0,23,63,6,80,186,53.4,6,66,16,1,184,32,19,11,1,6,8,233,91,18,8,186,53.4,95,20.9,1074,36,1116,459,583,1,1,1
Ravens,634,384,60.6,5.9,3717,18,18,74.6,175,27.6,46,6,71,60,415,1860,4.5,6,10,3,63,96,23.1,4,384,3717,9.7,18,46,6,71,175,45.6,3,47,18,1,258,52,16,13,0,3,4,250,91,32,13,175,45.6,96,23.1,1109,41,1077,339,704,0,1,1
Titans,571,387,67.8,7.3,4181,20,6,96.4,189,33.1,52,11,59,45,480,1831,3.8,10,7,1,56,103,21.5,3,387,4181,10.8,20,52,11,59,189,48.8,2,79,6,1,86,44,13,8,0,2,3,231,89,21,12,189,48.8,103,21.5,1096,64,1031,387,587,0,0,1
49ers,621,410,66.0,6.4,3949,20,22,79.6,190,30.6,45,5,60,48,369,1525,4.1,10,10,2,49,97,26.3,4,410,3949,9.6,20,45,5,60,190,46.3,6,60,22,1,309,66,10,6,0,6,4,215,88,28,14,190,46.3,97,26.3,1038,34,1069,409,625,0,1,1
